Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class,Diversity Spotlight
Cosmico,https://www.crunchbase.com/organization/cosmico,,"Consulting, Copywriting, Freelance, Human Resources, Virtual Workforce","Milan, Lombardia, Italy","Cosmico connects designers, copywriters, marketers, and freelance developers.","38,505","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,,Active,2020-03-01,month,,,,,For Profit,https://wearecosmico.com,https://www.linkedin.com/company/wearecosmico/,,hello@wearecosmico.com,,"We are the platform connecting digital talents with the most ambitious companies, using remote work. We have over 8,000 members and our talents have accelerated dozens of projects alongside big names like Accenture Song, Tangity, Frog, Fjord, Sketchin, EY but also aggressive start-ups like Scalapay, Gimme5, Flowe, Unguess. If you are a digital professional: we offer you a community in which to grow your talent through experiences, networks and cosmic projects. If you are a company: we offer you access to a community of designers, developers and marketers from which to select the talents to accelerate your digital transformation projects. Whether you are a manager or a digital professional, Cosmico is here to help you find your space",,,,,,,,,,,,"Administrative Services, Content and Publishing, Professional Services",2.0,"Francesco Marino, Simone Tornabene",11-50,3.0,Early Stage Venture,2024-04-17,4000000.0,EUR,4267654.0,Series A,4000000.0,EUR,4267654.0,Series A,5850000.0,EUR,6260695.0,5850000.0,EUR,6260695.0,"Intesa Sanpaolo, PranaVentures, Bonsai Venture Capital SCR, Growth Engine, 40Jemz Ventures",3.0,11.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,1.2,0.0,,1.0,Advertising; business,
ALBA Robot,https://www.crunchbase.com/organization/alba-robot,,"Artificial Intelligence (AI), Autonomous Vehicles, Internet, Internet of Things, Medical Device","Torino, Piemonte, Italy","ALBA Robot, and end to end mobility solution for silver economy","39,333","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2019-11-01,month,,,,,For Profit,https://www.alba-robot.com/,https://www.linkedin.com/company/alba-robot/,,info@alba-robot.com,,A B2B self-driving micromobility platform for the transportation of people and goods in indoor and pedestrian areas.,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Internet Services, Science and Engineering, Software, Transportation",2.0,"Andrea Bertaia, Giacomo Moiso",11-50,13.0,,2024-10-28,1200000.0,EUR,1298118.0,Grant,1200000.0,EUR,1306980.0,Undisclosed,5804552.0,USD,5804552.0,10444319.0,USD,10444319.0,"CDP Venture Capital, Techstars, Intesa Sanpaolo, Amazon Alexa Fund, STMicroelectronics",2.0,11.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.0,-0.2,7.0,Medical Or Veterinary Science; Hygiene,0.0,,
Plutus,https://www.crunchbase.com/organization/plutus,,"Bitcoin, Cryptocurrency, Debit Cards, Ethereum, Financial Exchanges, Financial Services, FinTech, Payments","London, England, United Kingdom","Mobile App, Crypto Rewards, American Express 3.0","39,571","Europe, Middle East, and Africa (EMEA)",SW6 4,$1M to $10M,Active,2015-01-01,day,,,,,For Profit,https://plutus.it,https://www.linkedin.com/company/plutus-it,https://www.facebook.com/Plutusit/,press@plutus.it,,"Plutus (https://plutus.it) combines the ease of modern banking with access to crypto currencies. The finance app consists of a UK account or a European IBAN to manage fiat & crypto in a non-custodial wallet. It includes a decentralised exchange to swap between both asset types, and a rewarding Visa Debit Card. Every time a user spends with their Plutus Card, they earn 3% back in crypto (PLU), staking PLU unlocks additional rewards (up to 15%) at selected household brand names. Plutus prides itself in being one of the original decentralised finance concepts. Founded in 2015 by serial entrepreneur, Danial Daychopan, Plutus is now used by tens of thousands of users across Europe.",,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Lending and Investments, Other, Payments, Software",2.0,"DANIAL DAYCHOPAN, JASPER TAY",11-50,1.0,,2021-05-04,5000000.0,USD,5000000.0,Initial Coin Offering,5000000.0,USD,5000000.0,Initial Coin Offering,5000000.0,USD,5000000.0,5000000.0,USD,5000000.0,Alphabit Fund,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,18.0,2.4,0.0,,8.0,Scientific and electric apparatus and instruments,
faire.ai,https://www.crunchbase.com/organization/faire-8667,,"Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning","Milano, Lombardia, Italy",Next-generation credit platform for banks and financial institutions based on open banking data,"39,617","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,,Active,2020-01-01,year,,,,,For Profit,https://www.faire.ai/,https://www.linkedin.com/company/faireai,,info@faire.ai,,"faire.ai is a data centric fintech company that provides B2B2C digital solutions to transform access to consumer credit. We built an advanced Platform to analyse customers’ financial behaviour, leveraging Open Banking. faire.ai empowers clients and partners with digital products that simplify processes. We employ Machine Learning to deliver human centred solutions. We aim to improve customers’ lives and simplify access to credit by innovating traditional paradigms.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",5.0,"Claudia Chiesa, Cristina Bonacina, Gianluigi Davassi, Gilberto Taccari, Giorgio Fiorentino",11-50,1.0,Seed,2022-10-10,3000000.0,EUR,2913436.0,Seed,3000000.0,EUR,2913436.0,Seed,3000000.0,EUR,2913436.0,3000000.0,EUR,2913436.0,"Fabrick, Matteo de Brabant, Paolo Barberis, Jan Sprengnetter, Francesco Beraldi",2.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.0,2.7,,,,,
Ruralis,https://www.crunchbase.com/organization/ruralis,,"Property Management, Vacation Rental","Sant'angelo Dei Lombardi, Campania, Italy",More accessible and competitive holiday homes in rural areas,"39,743","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2022-01-01,month,,,,,For Profit,https://ruralis.com,https://www.linkedin.com/company/ruralis-startup/,https://www.facebook.com/RuralisCom/,info@ruralis.com,+39 342 521 1403,"Ruralis.com is an innovative start-up specialised in the digital property management industry. By integrating the best digital solutions, the company helps rural property owners increase their rental income through efficient distribution on leading booking channels. Ruralis is a digital property management company that offers a unique approach by empowering property owners with tasks such as cleaning and check-in, promoting a personalised rental experience. To date, many rural accommodations are not present online or on the main booking channels such as Booking.com or Airbnb. Even when they are, the houses often faces major management issues (eg. professional photos, payment methods, customer service, marketing, online check-in, and pricing strategy). We support property owners maximising their rental income, with the goals of accelerating the growth of rural communities and welcome worldwide tourists in a sustainable way.",,,,,,,,,,,,"Real Estate, Travel and Tourism",1.0,Nicolas Verderosa,11-50,2.0,Seed,2025-05-05,1800000.0,EUR,2040374.0,Grant,510000.0,EUR,561651.0,Seed,510000.0,EUR,561651.0,2310000.0,EUR,2602025.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.0,7.4,0.0,,1.0,Advertising; business,
brumbrum,https://www.crunchbase.com/organization/brumbrum-spa,,"Automotive, E-Commerce, Internet, Rental","Milano, Lombardia, Italy",Brumbrum is a provider of used vehicles for sale with up to 3 years of warranty that can be purchased online.,"39,778","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2016-01-01,month,2022-01-26,day,,,For Profit,https://www.brumbrum.it/,https://www.linkedin.com/company/brumbrum.it/,https://www.facebook.com/brumbrum.it,supporto@brumbrum.it,+39 02 8002 9829,"Brumbrum is a provider of used vehicles for sale with up to 3 years of warranty that can be purchased online. The company's goal is to revolutionize the car market by offering a simple, innovative, practical, and competitive shopping experience. Brumbrum was founded in 2016 and is based in Milan, Italy.",,,,,,,,,,,,"Commerce and Shopping, Internet Services, Transportation",2.0,"Alberto Genovese, Francesco Banfi",51-100,6.0,M&A,2022-01-01,,,,Private Equity,,,,Private Equity,30000000.0,EUR,35179205.0,177765762.0,USD,177765762.0,"Accel, Headline, Bonsai Partners, Oaktree Capital Management, United Ventures",2.0,9.0,,Was Acquired,brumbrum acquired by Cazoo,https://www.crunchbase.com/acquisition/cazoo-acquires-brumbrum-spa--b8ccd1e1,Cazoo,https://www.crunchbase.com/organization/cazoo,2022-01-26,day,80000000.0,EUR,89924722.0,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,9.0,0.1,0.0,,2.0,Advertising; business,
BonusX,https://www.crunchbase.com/organization/bonusx,,"Small and Medium Businesses, Software","Milan, Lombardia, Italy",BonusX is a digital society that brings processes and case management online.,"40,081","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2020-01-01,year,,,,,For Profit,https://bonusx.it,https://www.linkedin.com/company/bonusxitalia,https://www.facebook.com/bonusxitalia,info@bonusx.it,,BonusX is a digital society that brings processes and case management online. They work with operators. They process and send the documents to the institutions for users. They have severe inefficiencies in economic and social policies.,,,,,,,,,,,,"Other, Software",,,11-50,2.0,Seed,2023-10-11,3200000.0,EUR,3399543.0,Seed,3200000.0,EUR,3399543.0,Seed,3200000.0,EUR,3399543.0,3200000.0,EUR,3399543.0,"Giant Ventures, Exceptional Ventures, 2100 Ventures, Exor Ventures, Raffaele Terrone",1.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.0,2.6,0.0,,1.0,Scientific and electric apparatus and instruments,
TrueScreen,https://www.crunchbase.com/organization/truescreen-7059,,"Cyber Security, Information Technology, InsurTech, Legal Tech","Bologna, Emilia-Romagna, Italy","TrueScreen certifies any multimedia file, email and document with legal and probative value, ensuring authenticity and immutability","40,265","European Union (EU), Europe, Middle East, and Africa (EMEA)",40121,,Active,2021-01-01,year,,,,,For Profit,https://truescreen.io,https://www.linkedin.com/company/truescreenapp,https://www.facebook.com/TrueScreen-Your-Trusted-Digital-Truth-109029444918569,info@truescreen.app,,"The sources of trustable data TrueScreen provides companies and professionals with an ecosystem of patented tools capable of guaranteeing trustable and reliable information. Forensic Acquisition Collection of photos, videos, audio, screenshots, and other multimedia content in real time with a patented forensic methodology. Email Certification Certification with legal value of the content and attachments of any email communications Document Signature Sign any document with full legal value and probative value using an advanced electronic signature. File Notarization Certify any document or file in a second to guarantee legal value, certain date and future immutability.",,,,,,,,,,,,"Financial Services, Information Technology, Privacy and Security, Professional Services",2.0,"Fabio Ugolini, Giuseppe Travasoni",11-50,3.0,Seed,2024-09-25,2400000.0,EUR,2671116.0,Seed,2400000.0,EUR,2671116.0,Seed,2608500.0,EUR,2894881.0,2608500.0,EUR,2894881.0,"Growth Engine, Cysero, Sme.UP Group, Fin+Tech, Encelado Ventures",1.0,10.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,2.0,,,,,
Sonect,https://www.crunchbase.com/organization/sonect,,"Banking, Finance, Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments","Zürich, Zurich, Switzerland","Sonect is a location based matchmaking platform connecting those who want to withdraw cash, with those who want to deposit it.","40,589","Europe, Middle East, and Africa (EMEA)",8008,$1M to $10M,Active,2016-08-01,month,,,,,For Profit,https://sonect.net,https://www.linkedin.com/company/sonect,https://www.facebook.com/sonectme,info@sonect.ch, +41 76 778 57 55,"SONECT enables every shop in the neighborhood to act as a “virtual ATM” using just a smartphone or its POS-system. It democratizes the process of cash distribution in order to reduce the “cost of cash”.  SONECT is a location-based matchmaking platform that connects those who want to withdraw cash with those who want to deposit cash – typically a local shop owner. It builds a community around local businesses and helps them generate physical leads.  Using SONECT: • local shops will not only have less cash to manage at the end of the day but also earn a commission & attract new customers by offering a new service and having access to an additional marketing channel • individuals can avoid an extra trip to the ATM and withdraw money without fees at the click of a button – wherever they are: in a restaurant, a bar, their favorite local shop, …  • banks can reduce ATM operation costs & complement their ATM network – or even enter new markets without investing significant capital. On top of that, they can leverage a new revenue channel and get closer to their customers.",,,,,,,,,,,,"Apps, Financial Services, Lending and Investments, Mobile, Payments, Software",4.0,"Arindam Bajpayee, Rik Krieger, Sandipan Chakraborty, Sebastian Bürgel",11-50,13.0,Early Stage Venture,2021-10-22,5000000.0,CHF,5457818.0,Series A,5000000.0,CHF,5457818.0,Series A,21528011.0,USD,21528011.0,21630283.0,USD,21630283.0,"SixThirty, Venture Kick, Tenity, FIS, Finnovista",6.0,15.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10.0,-0.2,2.0,Computing; Calculating,2.0,Scientific and electric apparatus and instruments,
Blubrake,https://www.crunchbase.com/organization/blubrake,,"Cycling, Electric Vehicle, Electronics, Industrial Engineering, Mechanical Engineering","Milan, Lombardia, Italy","Blubrake aims to make future mobility greener, smarter and safer thanks to its cutting-edge technologies for light electric vehicles","40,909","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2015-10-23,day,,,,,For Profit,http://www.blubrake.com,https://www.linkedin.com/company/blubrake,https://www.facebook.com/blubrake/,info@blubrake.it,+39 02 45902000,"blubrake is a leading company that develops and produces advanced mechatronic systems focused on braking and sensing applications for bicycles, in particular e-bikes. The company developed the only ABS (anti-lock braking system) for e-bikes that can be fully integrated inside the frame and that can drastically increase safety on every kind of e-bikes, from city to mountain, from trekking to cargo. A light and invisible technology that can assure a safer and more enjoyable cycling experience.",,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Sports, Transportation",1.0,Fabio Todeschini,11-50,6.0,,2025-04-02,12000000.0,EUR,12960839.0,Venture - Series Unknown,12000000.0,EUR,12960839.0,Venture - Series Unknown,18900000.0,EUR,21024336.0,31200000.0,EUR,34032467.0,"European Investment Bank, Algebris Investments, EASME, e-Novia, Fundracer Capital",3.0,13.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10.0,3.5,4.0,Land Vehicles For Travelling Otherwise Than On Rails,2.0,Scientific and electric apparatus and instruments,
Focoos AI,https://www.crunchbase.com/organization/focoos-ai,,Software,"Turin, Piemonte, Italy",Focoos AI provides software that automates the process of creating and training of artificial neural networks optimized for any device.,"41,237","European Union (EU), Europe, Middle East, and Africa (EMEA)",10128,,Active,2022-01-01,year,,,,,For Profit,https://focoos.ai/,https://www.linkedin.com/company/focoosai,,,,"Focoos AI simplifies and accelerates the adoption of artificial vision by offering a platform equipped with ready-to-use neural networks that are easily adaptable to user needs, significantly reducing development time and costs.",,,,,,,,,,,,Software,2.0,"Antonio Tavera, Fabio Cermelli",11-50,1.0,Seed,2025-02-19,2650000.0,EUR,2769313.0,Seed,2650000.0,EUR,2769313.0,Seed,2650000.0,EUR,2769313.0,2650000.0,EUR,2769313.0,"Vento, Vertis, Exor Ventures, Galaxia, Finpiemonte S.p.A.",1.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.2,0.0,,2.0,Scientific and electric apparatus and instruments,
Reefilla,https://www.crunchbase.com/organization/reefilla,,"Automotive, Battery, CleanTech, Electric Vehicle, Energy Storage","Turin, Piemonte, Italy",Reefilla provides a mobile and predictive charging delivery service for electric vehicles.,"41,255","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2021-04-01,month,,,,,For Profit,https://reefilla.com/,https://www.linkedin.com/company/reefilla/,https://www.facebook.com/reeFilla,info@reefilla.com,,"Reefilla provides a mobile and predictive charging delivery service for electric vehicles. Reefilla enables people to charge their electric vehicles wherever and whenever they want, without disrupting their daily routine. Reefilla uses 100% green energy, fully electric vans for delivery, and gets its energy from used (second-life) batteries, contributing to net-zero emission by using a circular approach.",,,,,,,,,,,,"Energy, Sustainability, Transportation",3.0,"Gabriele Bergoglio, Marco Bevilacqua, Pietro Balda",1-10,3.0,Seed,2024-11-27,4500000.0,EUR,4753575.0,Seed,4500000.0,EUR,4753575.0,Seed,5500000.0,EUR,5758185.0,5500000.0,EUR,5758185.0,"Plug and Play, CDP Venture Capital, HCapital Partners, Azimut Libera Impresa, Finpiemonte S.p.A.",1.0,10.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11.0,-0.9,0.0,,1.0,Scientific and electric apparatus and instruments,
MOGU,https://www.crunchbase.com/organization/mogu,,"Biotechnology, Interior Design","Varese, Lombardia, Italy","MOGU is a European company, based in Italy, developing a range of mycelium-based technologies.","42,746","European Union (EU), Europe, Middle East, and Africa (EMEA)",21020,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://mogu.bio/,https://www.linkedin.com/company/mogumycelium/,https://www.facebook.com/mogumycelium,,,"MOGU is a European company, based in Italy, developing a range of mycelium-based technologies for the creation of a family of sustainable and innovative products for interior design, led by the principles of Circular Economy.  Mogu was founded on the belief that it is possible to employ Nature’s intelligence to radically disrupt the design of everyday products, seeking a finer balance between the man-made and the rhythms of the natural ecosystem.",,,,,,,,,,,,"Biotechnology, Design, Real Estate, Science and Engineering",1.0,Maurizio Montalti,11-50,3.0,Early Stage Venture,2024-01-09,11000000.0,EUR,12024946.0,Series A,11000000.0,EUR,12024946.0,Series A,12100000.0,EUR,13335901.0,14247570.0,EUR,15822165.0,"CDP Venture Capital, European Circular Bioeconomy Fund, EASME, Progress Tech Transfer Fund, Kering Ventures",3.0,6.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.0,0.4,3.0,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,2.0,Leather and imitations of leather,
Kampaay,https://www.crunchbase.com/organization/kampaay-srl,,"Catering, Enterprise Software, Event Management, Events, Marketplace, SaaS","Milano, Lombardia, Italy",Kampaay is the solution for Event Management: it simplifies and digitises the management and organisation of your corporate events,"44,035","European Union (EU), Europe, Middle East, and Africa (EMEA)",20143,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.kampaay.com/,https://www.linkedin.com/company/27200057/,https://www.facebook.com/Kampaay/,daniele.arduini@kampaay.com,,Kampaay is a B2B Future of Work solution aimed at disrupting the EU SMB and Enterprise event industry with a SaaS-Enabled Marketplace approach,,,,,,,,,,,,"Commerce and Shopping, Events, Food and Beverage, Media and Entertainment, Software",4.0,"Daniele Arduini, Enrico Berto, Marco Alba, Stefano Brigli Bongi",11-50,4.0,Early Stage Venture,2023-05-18,7900000.0,USD,7900000.0,Series A,7900000.0,USD,7900000.0,Series A,10940000.0,USD,10940000.0,10940000.0,USD,10940000.0,"360 Capital, Azimut Digitech Fund, SG Company",2.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,-0.6,0.0,,1.0,Education; entertainment,
Babaco Market,https://www.crunchbase.com/organization/babaco-market,,"E-Commerce, Food and Beverage, Grocery, Retail","Milan, Lombardia, Italy","Babaco Market is an ecommerce business from Italy selling grocery ""ugly products"" with a subscription business model approach","44,126","European Union (EU), Europe, Middle East, and Africa (EMEA)",20139,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://babacomarket.com/,https://www.linkedin.com/company/babacomarket/,https://www.facebook.com/BabacoMarket/,help@babacomarket.com,,"Babaco Market is a subscription with which you receive out-of-the-ordinary fruit and vegetables at home. Products that do not exceed the beauty contests organized by traditional channels and which risk being wasted. We deliver them to your home, in a box. Bring all the goodness of nature to the table and reduce food waste!",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",2.0,"Francesco Giberti, Luca Masseretti",11-50,4.0,Early Stage Venture,2022-11-23,6300000.0,EUR,6563437.0,Series A,6300000.0,EUR,6563437.0,Series A,8100000.0,EUR,8575730.0,8100000.0,EUR,8575730.0,"Plug and Play, CDP Venture Capital, United Ventures, Alecla7, Niccolo Maisto",2.0,11.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,25.0,0.0,0.0,,2.0,Meats and prepared or preserved foods; dairy products,
Foorban,https://www.crunchbase.com/organization/foorban,,"Catering, Food and Beverage, Health Care, Internet, SaaS","Milano, Lombardia, Italy",Foorban is a B2B2C digital canteen for SMEs focusing on employees wellbeing,"45,017","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2016-12-30,day,,,,,For Profit,https://www.foorban.com/,https://www.linkedin.com/company/foorban/,https://www.facebook.com/foorban,marco@foorban.com,+393929032209,"Foorban is an Italian food-tech scale-up employing a B2B2C business model that is disrupting the business lunch at work. Our mission it to make healthy eating simple and our full stack technology allows us to serve companies of all sizes. We are the well-being partner of more than 150 corporates and we have more than 20,000 single active customers.  Our vision is to become the European ""Made in Italy"" food-tech leader, driving the B2B2C contract catering market, promoting our smart and healthy lifestyle for thousands of companies and millions of employees. Our vision is to become the European ""Made in Italy"" food-tech leader, leadeing the B2B2C contract catering market, promoting our smart and healthy lifestyle for thousands of companies and millions of employees.",,,,,,,,,,,,"Food and Beverage, Health Care, Internet Services, Software",2.0,"Marco Mottolese, Stefano Cavaleri",51-100,7.0,Seed,2025-01-28,2000000.0,EUR,2086319.0,Seed,2000000.0,EUR,2086319.0,Seed,6650000.0,EUR,7446365.0,6650000.0,EUR,7446365.0,iStarter,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,-1.0,0.0,,2.0,Scientific and electric apparatus and instruments,
Aryel,https://www.crunchbase.com/organization/aryel,,"Advertising, Augmented Reality, Marketing, SaaS","Milan, Lombardia, Italy","Create, scale, and optimize top-notch Display Ads with the power of 3D & Augmented Reality.","45,984","European Union (EU), Europe, Middle East, and Africa (EMEA)",20139,$1M to $10M,Active,2020-06-12,day,,,,,For Profit,https://aryel.io,https://www.linkedin.com/company/aryel/,https://www.facebook.com/pg/aryelhq,hello@aryel.io,,"Aryel is a SaaS platform that helps brands and creative agencies to easily create engaging immersive ads campaigns via drag and drop, distribute them through a media-agnostic ad tag, measure goals and conversions, and connect the campaign with the most used marketing tools.",,,,,,,,,,,,"Advertising, Hardware, Sales and Marketing, Software",4.0,"Leonardo Persico, Luca Petri, Mattia Salvi, Vincenzo Schifano",51-100,2.0,Seed,2023-02-13,3000000.0,EUR,3219330.0,Seed,3000000.0,EUR,3219330.0,Seed,3000000.0,EUR,3219330.0,3700000.0,EUR,3980722.0,"PranaVentures, KF Ventures, Selected Investments",1.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10.0,-0.3,0.0,,2.0,Telecommunications,
R5,https://www.crunchbase.com/organization/r5,,"Auto Insurance, Automotive, Financial Services, Insurance, InsurTech, Lending","Bogotá, Distrito Especial, Colombia",Vehicle insurance and mobile app,"46,167",Latin America,111111,$10M to $50M,Active,2018-08-01,month,,,,,For Profit,https://www.grupor5.com,https://www.linkedin.com/company/grupor5,https://www.facebook.com/R5.col,soporte@grupor5.com,+57 1 5800649,R5 takes the headache out of owning a vehicle in Colombia,,,,,,,,,,,,"Financial Services, Transportation",1.0,Fernando Sucre Schnell,51-100,2.0,Early Stage Venture,2023-10-20,,,,Debt Financing,7000000.0,USD,7000000.0,Series A,7000000.0,USD,7000000.0,7000000.0,USD,7000000.0,"Endeavor Catalyst, Lendable, Bossa Invest, Accion Venture Lab, Global Founders Capital",2.0,7.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12.0,0.9,,,,,
Wopta Assicurazioni,https://www.crunchbase.com/organization/wopta-assicurazioni,,"Insurance, InsurTech","Milan, Lombardia, Italy","The first Italian phygital insurtech protecting artisans, SMEs and freelances","46,813","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2021-11-05,day,,,,,For Profit,https://www.wopta.it,https://www.linkedin.com/company/wopta-assicurazioni/,https://www.facebook.com/woptaassicurazioni/,info@wopta.it,,"Wopta Assicurazioni is the first Italian phygital insurtech which, thanks to a digital platform and a network of tied specialist throughout the country, was created to protect artisans, SMEs and freelances from everyday risks.",,,,,,,,,,,,Financial Services,,,11-50,3.0,,2025-01-29,4000000.0,EUR,4175945.0,Undisclosed,4000000.0,EUR,4175945.0,Undisclosed,12143088.0,USD,12143088.0,12143088.0,USD,12143088.0,"Key Capital, CNA Ravenna, Gruppo Cordifin, Alcide Leali, Luigi Belluzzo",3.0,7.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.0,-1.7,,,,,
Habacus,https://www.crunchbase.com/organization/habacus,,Education,"Milano, Lombardia, Italy",Habacus is the startup that supports higher education students and believes in their talent and potential.,"47,160","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.habacus.com/it,https://www.linkedin.com/company/h-abacus/,https://www.facebook.com/habacus.srl/,,,,,,,,,,,,,,,Education,1.0,Paolo Cuniberti,11-50,2.0,,2024-12-20,5000000.0,EUR,5215749.0,Venture - Series Unknown,5000000.0,EUR,5215749.0,Venture - Series Unknown,5300000.0,EUR,5554244.0,5300000.0,EUR,5554244.0,"P101, LIFTT, Fondo Rilancio Startup",1.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,0.4,0.0,,2.0,Advertising; business,
TeiaCare,https://www.crunchbase.com/organization/teiacare,,"Artificial Intelligence (AI), Health Care, InsurTech, Machine Learning","Milano, Lombardia, Italy",TeiaCare provides digital health solutions for elderly care management.,"47,176","European Union (EU), Europe, Middle East, and Africa (EMEA)",20127,Less than $1M,Active,2018-01-01,year,,,,,For Profit,http://teiacare.com,https://www.linkedin.com/company/teiacare,https://www.facebook.com/teiacare,info@teiacare.com,+39 02 24169208,"We bring the power of Artificial Intelligence to the long-term care sector, so that each care home can do more and do it better. We drive each care home to the future, offering technological solutions able to combine CARE NEEDS and MANAGEMENT DUTIES. Our goal is to amplify the resources of healthcare workers and managers, improving their daily work and ensuring each resident a new care model. The future of care homes begins with an A. With ANCELIA, our solution based on advanced Artificial Intelligence algorithms, we can automatically collect information on the conditions of each resident and analyze every useful data for the management control. This way: - We EMPOWER AND IMPROVE the daily assistance activities, extending the quality of care to a greater number of residents without additional effort, - We take advantage of the hidden value of data, delivering analyses and reports that OPTIMIZE DECISION MAKING AND MANAGEMENT PROCESS for each manager, amplifying your available resources. In doing so, WE GUARANTEE THE HIGHEST QUALITY OF CARE, providing a new assistance care model, based on: - personalized assistance, - objective data, - trasparency",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",3.0,"Guido Magrin, Luca Iozzia, Roberto Salamina",11-50,7.0,Seed,2022-07-01,2500000.0,EUR,2607274.0,Seed,2500000.0,EUR,2607274.0,Seed,3800000.0,EUR,4063423.0,3902000.0,EUR,4182067.0,"Nina Capital, EIT Health, Horizon 2020, NovaCapital, Fresco Capital",5.0,9.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9.0,0.2,0.0,,5.0,Scientific and electric apparatus and instruments,
