Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Restore Technology,https://www.crunchbase.com/organization/restore-document-management,,"Data Storage, Document Management","Redhill, Surrey, United Kingdom","Restore provides document digitization, scanning and related outsourcing services.","367,007","Europe, Middle East, and Africa (EMEA)",RH1 5DY,$100M to $500M,Active,1985-01-01,year,,,,,For Profit,https://www.restore.co.uk/,https://www.linkedin.com/company/restore---document-management-division,https://www.facebook.com/RestoreDocumentManagement,,0345 6464 666,"Restore Document Management are the largest UK-owned records management company, servicing 4,000 small, medium, and blue-chip-sized companies from over 100 storage, scanning, and shredding facilities the length and breadth of the UK. We currently provide storage and management of over 15 million boxes in secure facilities, boast an impressive scanning capacity of 800,000,000 pages a year, and shred and recycle 500 tonnes of material every week. At Restore we are professionals in every step of the data journey; efficiently and cost-effectively managing all your business information in paper and digital form, providing hour-to-hour retrieval, business process automation, and end of life confidential disposal.",,,,,,,,,,,,"Hardware, Information Technology, Software",,,501-1000,,,,,,,,,,,,,,,,,,,,,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,6,-0.3,0,,1,Advertising; business
ETS,https://www.crunchbase.com/organization/emerging-technology-support,,"Consulting, Education, Training","Mooresville, North Carolina, United States","ETS is a dynamic company that specializes in offering a wide range of subject matter expertise, training and direct support t its customers.","372,609","East Coast, Southern US",,$1M to $10M,Active,2005-01-01,year,,,,,For Profit,https://www.emtecsu.com/,https://www.linkedin.com/company/emerging-technology-support-llc/,,,+1 704-248-0913,,,,,,,,,,,,,"Education, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,5.4,,,,
BizSpace,https://www.crunchbase.com/organization/bizspace-acbe,,Real Estate,"London, England, United Kingdom",BizSpace makes it easier to find the best space for your business in the UK.,"379,590","Europe, Middle East, and Africa (EMEA)",N3 1HF,$10M to $50M,Active,2006-01-01,year,2021-11-09,day,,,For Profit,https://www.bizspace.co.uk/,https://www.linkedin.com/company/bizspace-ltd,https://www.facebook.com/BizspaceUK,,08009750875,"BizSpaces are found everywhere, from Scotland to The Midlands, from Brighton to Barnsley, and come in every shape and size imaginable: you can just hire a mailbox, or you can make chainmail in a workshop.  We’ve got offices (and virtual offices) to rent, and we’ve got meeting rooms and co-working spaces for hire. We also let studios, light industrial units and storage units. Some BizSpaces are in beautifully restored old mills built by the Victorians, some in modern developments; some are in the suburbs; others in the heart of town. They are places that everyone from accountants to acrobats call home. What they all have in common is the energy and passion of the local BizSpace team",,,,,,,,,,,,Real Estate,,,11-50,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,BizSpace acquired by Sirius Real Estate,https://www.crunchbase.com/acquisition/sirius-real-estate-acquires-bizspace-acbe--1ea91a5b,Sirius Real Estate,https://www.crunchbase.com/organization/sirius-real-estate,2021-11-09,day,380000000,EUR,440590948,Acquisition,,Private,,,,,,,,,,,,,2,0,,,,
Vaica,https://www.crunchbase.com/organization/vaica,,"Health Care, Information Technology, Medical, Medical Device, mHealth, Pharmaceutical","Ramat Gan, Tel Aviv, Israel",Vaica’s mission is to improve patients’ lives through its customized medication adherence solutions,"385,822","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,,Active,2007-01-01,year,,,,,For Profit,http://www.vaica.com,https://www.linkedin.com/company/vaica/,,marketing@vaica.com,+972 77 700 5388,Developer of a healthcare technology designed to offer the nexus of medication adherence and remote patient Management.,,,,,,,,,,,,"Health Care, Information Technology, Mobile",2,"Batami Sadan, Tomer Gofer",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,0,1,,0,
S&V,https://www.crunchbase.com/organization/s-v,,"Consulting, Information Technology, IT Management, Service Industry","Bengaluru, Karnataka, India",S&V is a provider of data services and technology solutions for various industries such as Manufacturing.,"392,335",Asia-Pacific (APAC),,,Active,2008-01-01,year,2022-02-23,day,,,For Profit,http://www.sandv.biz/,https://www.linkedin.com/company/scalers-and-victors-innovations-pvt-ltd/,,,+27 82 075 5237,"S&V is a  provider of data services and technology solutions for various industries such as Manufacturing, Airlines, Utilities and Oil and Gas.",,,,,,,,,,,,"Information Technology, Other, Professional Services",1,Prashanth Prahalad,51-100,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,S&V acquired by Prometheus Group,https://www.crunchbase.com/acquisition/prometheus-group-acquires-s-v--a120d836,Prometheus Group,https://www.crunchbase.com/organization/prometheus-group,2022-02-23,day,,,,Acquisition,,Private,,,,,,,,,,,,,13,7.6,,,,
Wearable Robotics,https://www.crunchbase.com/organization/wearable-robotics,,"Manufacturing, Robotics","Ghizzano, Toscana, Italy","Wearable Robotics is focused on the design, development, production and commercialization of advanced wearable robotic devices.","398,565","European Union (EU), Europe, Middle East, and Africa (EMEA)",56010,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.wearable-robotics.com/kinetek/,https://www.linkedin.com/company/wearable-robotics,,info@wearable-robotics.com,+39 050 882517,"Wearable Robotics produces and develops wearable robotic systems and exoskeletons for rehabilitation, assistance and human-power augmentation.",,,,,,,,,,,,"Hardware, Manufacturing, Science and Engineering, Software",,,11-50,1,Seed,2017-10-30,,,,Seed,,,,Seed,,,,,,,iStarter,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,0,1,Hand Tools; Portable Power-Driven Tools; Manipulators,1,Machines and machine tools
WOW LLC,https://www.crunchbase.com/organization/wow-llc,,"Banking, Decentralized Finance (DeFi), Real Estate, Web3",,WOW is a global asset management company that creates a decentralized financial ecosystem.,"415,096",,,,Active,,,,,,,For Profit,https://wow.llc,,,support@wow.llc,,"World Of Web3, The Future of Asset Management WOW LLC is revolutionizing global asset management. Tokenize and own real-world assets—real estate, art, commodities, and intellectual property—seamlessly on the blockchain. Unlock limitless liquidity, borderless ownership, and boundless investment opportunities. With blockchain-driven transparency and efficiency, WOW LLC is creating a decentralized financial ecosystem where innovation meets opportunity.",,,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Internet Services, Lending and Investments, Real Estate",,,,1,,2025-03-20,,,,Initial Coin Offering,,,,Initial Coin Offering,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.1,,,,
Green Energy Storage,https://www.crunchbase.com/organization/green-energy-storage,,"Clean Energy, GreenTech, Renewable Energy, Solar","Povoletto, Friuli-Venezia Giulia, Italy",Green Energy Storage reshapes the energy transition with the green and sustainable energy storage system.,"417,923","European Union (EU), Europe, Middle East, and Africa (EMEA)",38123,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.greenenergystorage.eu,https://www.linkedin.com/company/green-energy-storage,https://www.facebook.com/greenenergystorage,info@greenenergystorage.eu,,"Green Energy Storage is developing a breakthrough technology for energy storage systems to accelerate the energy transition toward zero emissions. The new product is based on largely available and eco-friendly materials, a high level of safety, a long life-cycle, and a competitive levelized cost of storage. The R&D activities are performed at the forefront of technological innovation and protected by IP, their next generation of batteries for stationary applications is entirely designed in-house, from the cell design to the complete storage system, including the battery management system.",,,,,,,,,,,,"Energy, Natural Resources, Sustainability",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,14,-0.2,4,Basic Electric Elements,0,
Blowhammer,https://www.crunchbase.com/organization/blowhammer,,"E-Commerce, Fashion, Textiles","Nola, Campania, Italy",Blowhammer is a clothing brand and e-commerce company.,"426,126","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2014-01-01,year,,,,,For Profit,https://www.blowhammer.com,https://www.linkedin.com/company/blowhammer,https://www.facebook.com/Blowhammer,info@blowhammer.com,39 333 841 4673,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Manufacturing",1,Salvatore Sinigaglia,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,0,,,,
TGP,https://www.crunchbase.com/organization/tgp-b6bd,,"Health Care, Nutrition, Pharmaceutical","Parañaque, Rizal, Philippines",TGP is a pharmacy store chain based in the Philippines.,"426,153","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,1949-01-01,year,,,,,For Profit,https://tgp.com.ph,https://www.linkedin.com/company/tgp-the-generics-pharmacy,https://www.facebook.com/tgpthegenericspharmacy,info@tgp.com.ph,63 288211111,,,,,,,,,,,,,"Food and Beverage, Health Care",1,Benjamin Liuson,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,-0.6,,,,
Pigro,https://www.crunchbase.com/organization/pigro,,"Artificial Intelligence (AI), Document Management, Information Technology, Internet, Knowledge Management, Software","London, England, United Kingdom",Pigro helps people find clear-cut answers inside the ever-growing knowledge bases of their organizations.,"428,269","Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2018-06-21,day,,,,,For Profit,https://pigro.ai,https://www.linkedin.com/company/17904509/,https://www.facebook.com/pigrosoft/,info@pigro.ai,+39 051 408 6126,"Pigro is an AI search engine for large corporates (300+ employees) working on their internal knowledge base. Anyone can ask questions in natural language and receive a straight answer or data, instead of having to search for the answer inside each document. A company of 1,000 employees loses £7M+ per year (13% of the time) due to the fact that employees waste time creating content that already exists since they are not able to find it. Pigro’s current customers include Sky, MSC Cargo, BNP.",,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Other, Science and Engineering, Software",4,"Ahmed Nasser, Armando Fontana, Nicola Abbasciano, Nicolò Magnanini",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,17,-0.5,0,,2,Scientific and electric apparatus and instruments
Kiratech,https://www.crunchbase.com/organization/kiratech,,"Computer, Information Technology, Software","Verona, Veneto, Italy",Kiratech is a System & Cloud Integrator that combines passion and decades of experience in the IT market.,"431,284","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2005-01-01,year,,,,,For Profit,http://www.kiratech.it,https://www.linkedin.com/company/kiratech-s.p.a.,https://www.facebook.com/kiratech-271695142900187,info@kiratech.it,+39 045 501504,,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Software",1,Giulio Covassi,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,-0.2,0,,5,Scientific and electric apparatus and instruments
Connexa,https://www.crunchbase.com/organization/connexa,,"Electrical Distribution, Energy, Industrial, Industrial Automation, Manufacturing, Solar","Comfort, Texas, United States","Connexa is a manufacturer and distributor of remote and industrial energy products, as well as an integrator of IIOT products.","433,638",Southern US,78013,$1M to $10M,Active,2008-01-01,year,,,,,For Profit,https://www.connexa.com/,https://www.linkedin.com/company/connexausa/,https://www.facebook.com/connexaenergy,support@connexa.com,+1 830 995 3600,"Connexa manufactures industrial power systems, including solar systems, UPS backup systems, electrical distribution racks, and related products. Connexa continues to be the leader in power management and power products and systems, with a complete line of solar power, UPS systems, controllers, and components. They are located outside of San Antonio, TX in the Texas Hill Country and we deliver power products and accessories for OEM's, integrators, and resellers across the country and around the world. We specialize in IoT services, remote solar power, UPS power backup, and industrial control panel applications with internal design and engineering, custom assemblies, and our own line of industrial power products.",,,,,,,,,,,,"Energy, Manufacturing, Natural Resources, Science and Engineering, Sustainability",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,14,-0.8,,,,
Novatec,https://www.crunchbase.com/organization/novatec-new-technologies,,"Energy, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Renewable Energy","Baltimore, Maryland, United States",Novatec is a manufacturer of energy-efficient resin dryers.,"436,199","Greater Baltimore-Maryland Area, East Coast, Southern US",21225,$50M to $100M,Active,,,,,,,For Profit,http://www.novatec.com,https://www.linkedin.com/company/novatec,,info@novatec.com,+1 410-789-4811,"Novatec is a dryer manufacturer that offers a wide range of simple to complex resin handling and central drying systems. To develop and construct full Central Plastics Drying and Conveying Systems, Novatec blends Plastics Drying, Plastics Conveying, and Plastics Blending with Downstream Extrusion Products.",,,,,,,,,,,,"Energy, Manufacturing, Sustainability",,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,13,-0.5,11,Working Of Plastics,2,Scientific and electric apparatus and instruments
Milkman,https://www.crunchbase.com/organization/milkman,,"Freight Service, Logistics","Roma, Lazio, Italy",Milkman offers delivery with an unprecedented level of customization for e-commerce operators.,"436,415","European Union (EU), Europe, Middle East, and Africa (EMEA)",00144,,Active,2020-01-01,year,,,,,For Profit,https://mlkdeliveries.it/,,,,,"Milkman offers delivery with an unprecedented level of customization for e-commerce operators. Poste Delivery Now is the set of value-added services powered by Milkman that allows customers to customize Poste Italiane's Scheduled Delivery service. This service allows the recipient of the shipment to request delivery on a specific day and in the time slot (even just 30 minutes) that he or she prefers, even in the evening or on Saturday. The service can be selected directly during the purchase phase on the merchant's website, or later, during the delivery rescheduling phase.",,,,,,,,,,,,Transportation,,,51-100,1,Seed,2015-01-01,,,,Seed,,,,Seed,,,,,,,Boox,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,3.4,,,,
Ermes,https://www.crunchbase.com/organization/ermes-368e,,"Hardware, Printing, Software, Wholesale","Calderara Di Reno, Emilia-Romagna, Italy","Ermes is a distributor of hardware, software, plastic cards, and accessories for commercial sectors.","453,164","European Union (EU), Europe, Middle East, and Africa (EMEA)",40012,$1M to $10M,Active,2005-01-01,year,,,,,For Profit,https://ermes-online.it,https://www.linkedin.com/company/ermes-s-r-l,https://www.facebook.com/Ermescardprintersolutions,info@ermes-online.it,+39 051 757040,,,,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Hardware, Media and Entertainment, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,7.1,,,,
Sethi Management,https://www.crunchbase.com/organization/sethi-management,,"Hospitality, Property Management, Real Estate","Carlsbad, California, United States","Sethi Management is a property management company that caters to the needs of the hotel, retail, and restaurant industries.","456,685","Greater San Diego Area, West Coast, Western US",92009,$50M to $100M,Active,2010-01-01,year,,,,,For Profit,https://www.sethimanagement.com/,https://www.linkedin.com/company/sethi-management-inc/,https://www.facebook.com/sethimanagementinc/,support@sethimanagement.com,+1 760.652.4010,,,,,,,,,,,,,"Real Estate, Travel and Tourism",1,Jeetander Sethi,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,15,4.8,,,,
CoRehab,https://www.crunchbase.com/organization/corehab,,"Fitness, Health Care, Rehabilitation","Trento, Trentino-Alto Adige, Italy",CoRehab aims at changing the way of doing rehabilitation and exercise therapy both at the clinic and at home.,"461,148","European Union (EU), Europe, Middle East, and Africa (EMEA)",38121,$100M to $500M,Active,2013-01-01,year,,,,,For Profit,http://www.corehab.it/,https://www.linkedin.com/company/corehab,https://www.facebook.com/corehab,,+39 0461 960157,"CoRehab develops technologically advanced solutions to be alongside anyone who helps patients in their rehabilitation process or in a particular period of life.  Over 15.000 patients have successfully used the CoRehab products both in the clinic and at home regarding orthopedic, neurological, aging and sport conditions for a total of over 180.000 exercises performed. CoRehab has collaborated with more than 12 research institutes to validate the clinical and motivational effects of the use of the solutions on different conditions such as stroke, Parkinson, total joint replacement and ACL injuries, just to mention a few.  CoRehab is an ISO13485:2016 certified company that designs and manufactures CE certified class 1/m medical devices for clinic and home usage. The devices aim at measuring movements, motivating the patient and providing accurate and objective data to professionals. The CoRehab solutions are based on the use of inertial wearable sensors and proprietary softwares, developed on the basis of the most modern techniques of user experience.  The sensors measure accurately the movement performed and the patient receives an audio-visual biofeedback motivating him and stimulating autocorrection during the execution of the exercises. The data of exercises performed are automatically elaborated and available for consultation by professionals, allowing accurate remote monitoring in case the patient is performing exercises at home. Thanks to the technology used, CoRehab solutions also support professionals in the execution of objective and accurate evaluations providing results of high clinical value.",,,,,,,,,,,,"Health Care, Sports",2,"David Tacconi, Roberto Tomasi",11-50,1,Seed,2013-10-01,,,,Seed,,,,Seed,,,,,,,EIT Digital Accelerator,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,1,,,,
DayBreakHotels,https://www.crunchbase.com/organization/daybreakhotels,,"Hospitality, Leisure, Travel","Rome, Lazio, Italy",The first online booking website and APP focused on the reservation of the whole range of hotel services offered exclusively for day-use.,"461,742","European Union (EU), Europe, Middle East, and Africa (EMEA)",00153,Less than $1M,Active,2014-01-05,day,,,,,For Profit,https://www.daybreakhotels.com/IT/it-IT,http://it.linkedin.com/company/daybreakhotels-com,http://www.facebook.com/daybreakhotelscom,info@daybreakhotels.com,+39 0694504041,"DayBreakHotels is the first hotel booking platform focused exclusively on day-use services. We enable customers to book day-use hotel rooms (available from 9am to 9pm) with an average discounted rate of 50%. The package can include hotel services such as meeting rooms, SPA, swimming pools and hotel restaurants in three to five star hotels. Customers can book a room, a service or a package online or through our iOS and Android APPs By doing so we provide leisure and business day-trip travelers with the possibility to use any hotel as a ""second office"" or ""second house"". Thus, making day-trips more comfortable at an affordable prize. In addition, we turn luxury hotels in new appealing destinations for day-vacations of city residents. At the same time, on the hotel side, we bring new incremental revenues and new customers to our affiliated hotels. Among our most prestigious partners are Accor, Starwood, Radisson, Melià, Hilton, Intercontinental Hotels Group, Holiday Inn, WorldHotel, UNA Hotels and Best Western.",,,,,,,,,,,,"Community and Lifestyle, Travel and Tourism",4,"Flavio Del Greco, Lorenzo Stabile, Michele Spadone, Simon Botto",11-50,1,Seed,2016-09-30,,,,Seed,,,,Seed,,,,,,,"P101, Boost Heroes",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,1.3,0,,6,"Transport, packaging and storing"
Madhouse,https://www.crunchbase.com/organization/madhouse-co,,"Animation, Computer","Tokyo, Tokyo, Japan","MADHOUSE provides a variety of media services in animation planning, production, deployment planning.","466,350",Asia-Pacific (APAC),164-0012,$10M to $50M,Active,1972-10-01,day,,,,,For Profit,http://www.madhouse.co.jp/,https://www.linkedin.com/company/madhouse-beijing/,https://www.facebook.com/%E3%83%9E%E3%83%83%E3%83%89%E3%83%8F%E3%82%A6%E3%82%B9-MADHOUSE-488339947858990/,e-info@madhouse.co.jp,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Media and Entertainment, Video",4,"Masao Maruyama, Osamu Dezaki, Rintaro Kawajiri, Yoshiaki Kawajiri",101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,-1.3,,,,
SPORTRICK TECH SRL,https://www.crunchbase.com/organization/sportrick-tech-srl,,"CRM, Fitness, Information Technology, Software, Sports, Swimming","Reggio Nell Emilia, Emilia-Romagna, Italy",Cloud membership management system for fitness industry,"483,051","European Union (EU), Europe, Middle East, and Africa (EMEA)",42124,Less than $1M,Active,2018-03-01,day,,,,,For Profit,http://www.sportrick.com,https://www.linkedin.com/company/sportrick-tech-srl/,https://www.facebook.com/SPORTRICK/,info@sportrick.com,+39 0371 5946900,"WHY SPORTRICK? One of our customers’ most important goals is to boost their business. E-Commerce, pre-authorised payments, CRM and automated processes are the key factors to achieve this goal. On this basis, SPORTRICK changes the rules in terms of software for sport centres. Efficient processes and a good access-control management are important values, though available on the market since the 90s. Surely there are some clubs that still need to consolidate these aspects but SPORTRICK can take them one step further: after achieving these first goals, the club can evolve towards Social Business, workout-tracking and payment integrations relying on the Cloud.",,,,,,,,,,,,"Information Technology, Sales and Marketing, Software, Sports",1,Andrea Menozzi,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,4.4,,,,
GES,https://www.crunchbase.com/organization/ges,,"Waste Management, Water Purification","Acre, HaZafon, Israel",GES is a provider of water treatment to industrial companies.,"489,393","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",24123,Less than $1M,Active,1988-01-01,year,2019-09-12,day,,,For Profit,http://www.ges.co.il/,http://www.linkedin.com/company/308318,http://www.facebook.com/GES2013,info@ges.co.il,+972 4-987-6110,"GES is an international leader in the design and construction of innovative Sea Water Desalination and industrial and municipal Water and Wastewater Treatment plants, operating worldwide. With vast experience of over 25 years GES provides full scope of supply including process engineering, construction and operation services to Municipal and industrial customers around the world. Based on its accumulated know-how and over 300 leading professional employees, GES provided hundreds of small to mega size customer-tailored cost-effective & reliable solutions. GES is owned by Granite HaCarmel, an industrial holding company operating in the energy, water and construction materials sectors providing a strong financial backing. GES implements innovative technologies whilst giving special attention to financial optimization aimed at providing their customers with a complete and worthwhile solution. It does so while adhering to the highest codes, scrupulously meeting international, environmental quality standards and all other relevant legal and regulatory particulars, however harsh or demanding they may be.",,,,,,,,,,,,Sustainability,2,"Erez Balasha, Joseph Singer",501-1000,,M&A,,,,,,,,,,,,,,,,,,,1,"Made Acquisitions, Was Acquired",GES acquired by Generation Capital,https://www.crunchbase.com/acquisition/generation-capital-9eb7-acquires-ges--8747adac,Generation Capital,https://www.crunchbase.com/organization/generation-capital-9eb7,2019-09-12,day,31000000,USD,31000000,Leveraged Buyout,,Private,,,,,,,,,,,,,3,-0.2,,,,
Codemotion,https://www.crunchbase.com/organization/codemotion-3072,,"Business Development, Consulting, Education","Rome, Lazio, Italy","Codemotion is a consultancy that supports developers' professional growth through articles, workshops, and webinars.","489,434","European Union (EU), Europe, Middle East, and Africa (EMEA)",00185,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.codemotion.com/,https://www.linkedin.com/company/codemotion/,https://www.facebook.com/Codemotion.Italy/,info@codemotion.com,+39 392 965 7212,,,,,,,,,,,,,"Education, Professional Services",2,"Chiara Russo, Mara Marzocchi",51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2.3,,,,
FlowTech,https://www.crunchbase.com/organization/flowtech,,"Chemical, Manufacturing, Product Research","Cheonan, Ch'ungch'ong-namdo, South Korea",FlowTech is a manufacturer of concrete admixtures.,"491,337",Asia-Pacific (APAC),,,Active,2006-06-01,day,,,,,For Profit,http://www.flowtech.kr/,,,flowtech@flowtech.kr,041-522-6772,,,,,,,,,,,,,"Data and Analytics, Design, Manufacturing, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,17,0.8,19,Engineering Elements And Units; General Measures For Producing And Maintaining Effective Functioning Of Machines Or Installations,0,
BooleBox,https://www.crunchbase.com/organization/boolebox,,"Internet, Software","Cambridge, Massachusetts, United States",With BooleBox only you have the key to your cloud.,"498,570","Greater Boston Area, East Coast, New England",02142,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.boolebox.com/,https://www.linkedin.com/company/boolebox-inc-?trkInfo=tarId%3A1415959386166%2Ctas%3Aboolebox%2Cidx%3A1-1-1&trk=tyah,https://www.facebook.com/boolebox?fref=ts,info@booleserver.it,415-329-5928,"Boole Server is a leading software vendor, which has been in the market for 10 years, with headquarters in Italy and sales offices in the United States and Germany. Boole Server mission is to design and develop innovative software, dedicated to the data protection of sensitive information with advanced capabilities. ",,,,,,,,,,,,"Internet Services, Software",2,"Massimiliano Maggi, Valerio Pastore",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,2.7,,,,
Aevum,https://www.crunchbase.com/organization/aevum,,,"Huntsville, Alabama, United States",A space logistics company,"501,284",Southern US,,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.aevumspace.com/home,https://www.linkedin.com/company/aevum-space/,,,,,,,,,,,,,,,,,1,Jay Skylus,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,-0.7,0,,0,Scientific and electric apparatus and instruments
AnotheReality,https://www.crunchbase.com/organization/anothereality,,"Software, Virtual Goods, Virtual Reality, Virtualization","Milano, Lombardia, Italy",AnotheReality is a software development company focused on solving real problems by developing applications.,"505,283","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2016-01-01,year,,,,,For Profit,https://www.anothereality.io,https://www.linkedin.com/company/anothereality,https://www.facebook.com/AnotheReality,info@anotherealityvr.com,,"AnotheReality is a software company specializing in virtual reality and augmented reality solutions, based in Milan.  Just as the Internet has done, VR and AR will change the world as They know it, subverting the existing business models and crearndone completely new. AnotheReality is here to help you understand how your business can benefit from these new technologies, and prepare to compete in a new arena. Their services range from the 360-degree video experiences in virtual worlds and fully customized solutions.  Their expertise include corporate marketing and sales (communication, branding and trade marketing), as well as stand-alone solutions applied to various sectors: design, architecture, education, gaming, entertainment, tourism, fashion, retail, automotive, shipbuilding.",,,,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Software",1,Fabio Mosca,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,3.8,0,,2,Education; entertainment
