Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Lead Investments,Number of Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,Delisted Date,Delisted Date Precision,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Nibol,https://www.crunchbase.com/organization/nibol,,,"Milan, Lombardia, Italy",Nibol is an app that combines an office management system with bookable workspaces.,"99,954","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2019-02-01,month,,,,,For Profit,https://www.nibol.com,https://www.facebook.com/getnibol,https://www.linkedin.com/company/nibol/,,,"Nibol helps with meeting room scheduling, finding colleagues, inviting guests, and receiving deliveries. It is an app that combines an office management system with bookable workspaces.",,,,,,,,,,,,,2,"Francesco Scalambrino, Riccardo Suardi",1-10,1,Seed,2021-05-01,500000,EUR,600998,Pre-Seed,500000,EUR,600998,Pre-Seed,500000,EUR,600998,500000,EUR,600998,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,6,0,2,,Scientific and electric apparatus and instruments
&frankly,https://www.crunchbase.com/organization/frankly-2,,"Employee Benefits, Office Administration, SaaS, Small and Medium Businesses, Software","Stockholm, Stockholms Lan, Sweden",&frankly is a employee engagement platform that assists managers in improving employee engagement.,"100,099","European Union (EU), Nordic Countries, Scandinavia",,$10M to $50M,Active,2014-12-01,month,,,,,For Profit,http://www.andfrankly.com,https://www.facebook.com/goandfrankly,https://www.linkedin.com/company/&frankly,info@andfrankly.com,,"&frankly is an employee engagement platform that assists managers in improving employee engagement. The company platform helps HR leaders and managers in collecting, understanding and acting on employee feedback data in order to increase workplace engagement.",,,,,,,,,,,,"Administrative Services, Health Care, Other, Software",2,"Caroline Fjellner, Peder Nordvaller",11-50,1,,2018-11-02,13000000,SEK,1434356,Venture - Series Unknown,13000000,SEK,1434356,Venture - Series Unknown,13000000,SEK,1434356,13000000,SEK,1434356,Luminar Ventures,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,45,,,,
Flyted,https://www.crunchbase.com/organization/flyted,,"Aerospace, Industrial Engineering, Infrastructure, Mechanical Design, Technical Support","Milan, Lombardia, Italy",Flyted is a facilities services provider that collects strategic data on structures and territories using unmanned aerial systems.,"100,121","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://www.flyted.eu/,,https://www.linkedin.com/company/flyted/,info@flyted.eu,+39 02 42442280,,,,,,,,,,,,,"Design, Hardware, Information Technology, Manufacturing, Other, Science and Engineering",1,Matteo Mastrangelo,11-50,1,Early Stage Venture,2024-11-04,1000000,EUR,1087429,Series A,1000000,EUR,1087429,Series A,1000000,EUR,1087429,1000000,EUR,1087429,ClubDeal Digital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,9,,,,
Newarc srl,https://www.crunchbase.com/organization/newarc-srl,,"Predictive Analytics, Property Development, Property Management, Real Estate, Real Estate Investment, Software","Torino, Piemonte, Italy",Newarc is an artificial intelligence and technology company that assists in the sale and purchase of real estate.,"101,808","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-07-15,day,,,,,For Profit,https://www.newarc.it/,,https://www.linkedin.com/company/newarc-homes/,,,Newarc offers technology for the real estate buying and selling process. They renew the way homes are bought and sold in the real estate market. The companies contact mode is at its physical address.,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Real Estate, Software",1,Edoardo Tabasso,1-10,2,Seed,2024-07-09,800000,EUR,865180,Seed,800000,EUR,865180,Seed,928000,EUR,997803,928000,EUR,997803,"Cassa Depositi e Prestiti, Digital Magics, NovaCapital, HabiSmart",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,7,,,,
Sidewalk,https://www.crunchbase.com/organization/sidewalk-240f,,"E-Commerce, E-Commerce Platforms, Retail, Shopping, Small and Medium Businesses","Denver, Colorado, United States","Sidewalk is an e-commerce platform, which allows consumers to search and shop from local stores.","101,991","Greater Denver Area, Western US",,Less than $1M,Active,2020-06-01,month,,,,,For Profit,https://www.shopsidewalk.com/,https://www.facebook.com/shopsidewalk/,https://www.linkedin.com/company/shopsidewalk/,hello@shopsidewalk.com,,"Sidewalk is an e-commerce platform, which allows consumers to search and shop from local stores. Like DoorDash for things.",,,,,,,,,,,,"Commerce and Shopping, Internet Services, Other",1,Lizy Lee,1-10,1,Seed,2020-10-31,230000,USD,230000,Pre-Seed,230000,USD,230000,Pre-Seed,230000,USD,230000,230000,USD,230000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,15,,,,
Wall Street Football,https://www.crunchbase.com/organization/wall-street-football,,"Fantasy Sports, Machine Learning, Sports","Rome, Lazio, Italy",Wall Street Football is the Saas supplier of an innovative platform for investing and betting on the real performances of football players,"103,427","European Union (EU), Europe, Middle East, and Africa (EMEA)",00040,Less than $1M,Active,2017-01-01,year,,,,,For Profit,https://wallstreetfootball.io/,,https://www.linkedin.com/company/wallstreetfootball/,info@wallstreetfootball.io,,"WSF is based on a fully-automated mathematical and statistical model integrated with Machine Learning for analyzing data and forecasting future player achievements and actions, and a dynamic algorithm that allows financial trading on derivatives based on footballers performance on the pitch. We provide our software and our services to gaming firms, gambling companies, professional football teams and sport directors that wish to offer our products in their markets. Our long term vision is to cover all the major sports and leagues in the world.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Software, Sports",2,"Giovanni Bertoli, Michele Di Marcantonio",11-50,1,,2021-04-14,540000,EUR,647172,Venture - Series Unknown,540000,EUR,647172,Venture - Series Unknown,540000,EUR,647172,540000,EUR,647172,"Moffu Labs, Orbita Verticale, Doorway Capital, Wylab",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,4,0,1,,Scientific and electric apparatus and instruments
BRAINCONTROL,https://www.crunchbase.com/organization/brain-control,,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Machine Learning","Siena, Toscana, Italy",BrainControl is a platform based on Artificial Intelligence for human-machine interaction through bio-feedback,"103,453","European Union (EU), Europe, Middle East, and Africa (EMEA)",53100,$1M to $10M,Active,2010-01-01,year,,,,,For Profit,https://www.braincontrol.eu,https://www.facebook.com/BraincontrolAAC,https://www.linkedin.com/company/braincontrol,info@braincontrol.it,+39 0577 1916187,"BrainControl is a platform based on Artificial Intelligence for human-machine interaction through bio-feedback. Its first application was addressed as BCI-based augmentative and alternative communication (AAC), a sort “mental joystick”, allowing to overcome severe physical and communicative disabilities. “BrainControl BCI Easy” fills a technological void for patients who are cognitively aware, but completely unable to move or communicate, a state called “locked-in”, and meets many of the unmet needs for patients in less advanced states who are currently using or cannot use eye-tracking systems.  Future versions will include advanced functionalities of communication, entertainment, home automation and robotic. Working prototypes of a virtual keyboard, home automation, wheelchair control and of a humanoid robot control with multiple modes of interaction have already been developed. ",,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",1,Pasquale Fedele,1-10,1,Seed,2018-06-13,2500000,EUR,2950876,Seed,2500000,EUR,2950876,Seed,2500000,EUR,2950876,2500000,EUR,2950876,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,3,2,0,Medical Or Veterinary Science; Hygiene,
TIME,https://www.crunchbase.com/organization/time-1170,,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Marketing, Project Management, Software","Alexandria, Al Iskandariyah, Egypt","TIME is a time Management AI Platform that analyzes the needed resources for various kinds of projects like websites, apps, marketing etc.","104,139","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",21500,,Active,2020-01-01,year,,,,,For Profit,https://time.com.vc/,https://www.facebook.com/time.com.vc,https://www.linkedin.com/company/time-com-vc/,info@time.com.vc,+20 1013611423,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8.3,5,,,,
Billding,https://www.crunchbase.com/organization/billding,,"Financial Services, FinTech, Information Technology, Software","Milan, Lombardia, Italy",Billding is a fintech startup that provides a customizable package of home services to its users.,"104,181","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2022-07-01,day,,,,,For Profit,https://billding.it/,https://www.facebook.com/billding.it,https://www.linkedin.com/company/billding/,info@billding.it,,"Billding is the first free digital platform in Europe to offer a complete package of home services, including Electricity, Gas, Internet, TV, Home Assistance, and more. Thanks to the digitized solution, the entire management process is simplified, allowing users to aggregate multiple properties within a single application. Additionally, operating as a digital purchasing group, Billding negotiates the best deals with suppliers to ensure users receive quantified annual savings.",,,,,,,,,,,,"Financial Services, Information Technology, Software",3,"Alessandro Ferraro, Nicolò Sozzi, Pinò Surace",11-50,1,Seed,2024-01-01,500000,EUR,551831,Pre-Seed,500000,EUR,551831,Pre-Seed,500000,EUR,551831,500000,EUR,551831,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,11,0,1,,Scientific and electric apparatus and instruments
Screevo,https://www.crunchbase.com/organization/screevo,,"Information Technology, Software","San Francisco, California, United States",Screevo is the enterprise platform to create voice controls on any software system.,"105,055","San Francisco Bay Area, West Coast, Western US",,Less than $1M,Active,2021-05-01,month,,,,,For Profit,https://screevo.ai/,,https://www.linkedin.com/company/71924650,,,"Screevo is the Enterprise Voice Powered Automation Platform to create voice controls on any software system, with no integration required.  In-field workers spend an average of 800 hours per year entering data into forms, spreadsheets and software systems: approximately 40% of their overall time. Screevo voice assistants are capable of guiding users through the company processes and doing the data entry tasks on their behalf. Thanks to a pure voice interaction, workers can focus on what matters the most: creating value with their hands.",,,,,,,,,,,,"Information Technology, Software",1,Domenico Crescenzo,1-10,1,Seed,2021-09-14,510000,EUR,602029,Seed,510000,EUR,602029,Seed,510000,EUR,602029,510000,EUR,602029,"Boost VC, LVenture Group",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,1,,,,
Safurai,https://www.crunchbase.com/organization/safurai,,Artificial Intelligence (AI),"Milan, Lombardia, Italy",Safurai is the AI code assistant that helps developers.,"105,761","European Union (EU), Europe, Middle East, and Africa (EMEA)",20135,,Active,2022-09-01,month,,,,,For Profit,https://www.safurai.com,,https://www.linkedin.com/company/safurai/,info@safurai.com,,"Safurai is an AI coding assistant that uses code to fix errors, rework, write documentation, and generate new code.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Alexander Puppo, Davide Cifarelli",1-10,1,Seed,2022-09-10,120000,USD,120000,Pre-Seed,120000,USD,120000,Pre-Seed,120000,USD,120000,120000,USD,120000,Techstars,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,4,,,,
WaitHero,https://www.crunchbase.com/organization/waithero,,"Apps, Mobile Apps, QR Codes","Napoli, Campania, Italy",WaitHero develops mobile food tech platforms for managing online reservations in restaurants.,"105,813","European Union (EU), Europe, Middle East, and Africa (EMEA)",80133,,Active,2020-01-01,year,,,,,For Profit,https://waithero.com,https://www.facebook.com/WaitHeroApp/,https://www.linkedin.com/company/waithero/,info.waithero@gmail.com,+39 366 548 5790,"WaitHero provides QR code scanning for restaurants. The company's platform provides interactive digital multilingual menus and pre-order functionalities, enabling restaurants to reduce the wait time for orders and provide a better experience for customers.",,,,,,,,,,,,"Apps, Mobile, Software",,,11-50,2,Seed,2024-04-03,99998,GBP,126512,Seed,99998,GBP,126512,Seed,899998,GBP,1091893,899998,GBP,1091893,SFC Capital,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.3,10,,,,
ARROE,https://www.crunchbase.com/organization/arroe,,"Battery, Big Data, CleanTech, Internet of Things, Software","London, England, United Kingdom",Augmenting the battery experience to reduce e-waste,"105,854","Europe, Middle East, and Africa (EMEA)",E9 7QP,$1M to $10M,Active,2016-03-30,day,,,,,For Profit,https://www.arroe.com,https://www.facebook.com/arroebrand/,https://www.linkedin.com/company/10818208/,support@arroe.com,,"ARROE are augmenting battery experience and reducing e-waste. We have built a proprietary cloud based predictive battery management system using machine learning algorithms. We have built consumer facing battery management apps for iOS, Android, macOS, Windows, Linux, wearOS, Watch OS and an enterprise dashboard for businesses to manage company devices. We license this software to companies that make portable electronics in order to augment battery experience and extend the lifespan of these devices.",,,,,,,,,,,,"Data and Analytics, Energy, Internet Services, Software, Sustainability",4,"Eoin Cooney, Niall McGuinness, PhD, Randolph Manderstam, Romain Pascal",1-10,7,Seed,2021-01-27,830000,GBP,1134663,Convertible Note,,GBP,,Seed,628750,GBP,823767,2085302,USD,2085302,"Crowdcube, Loyal VC, Future Fund, Roger Bamford, Steve Pankhurst",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.1,4,2,1,Generation; Conversion Or Distribution Of Electric Power,Scientific and electric apparatus and instruments
Lybra Tech,https://www.crunchbase.com/organization/lybra-tech,,"Analytics, Big Data, Database, Hotel, Information Technology, SaaS, Software","Roma, Lazio, Italy",Lybra Tech is a software as a service company offering a web based hotel revenue management application.,"106,835","European Union (EU), Europe, Middle East, and Africa (EMEA)",00198,$1M to $10M,Active,2017-01-01,year,2020-05-13,day,,,For Profit,http://www.lybra.tech,https://www.facebook.com/lybratech-1463556350619074,https://www.linkedin.com/company/6613798,info@lybra.tech,,Lybra tech is a SaaS company offering a web based hotel revenue management application. It analyzes multiple data in real-time optimizing your pricing strategy over 365 days and analyzing the most meaningful KPI’s to measure the success of your business. It also offers an interactive user experience to make job easier and more productive combining best technologies with usability. Lybra is on a mission to democratize the use of Big data delivering easy to use and affordable data solutions to hoteliers worldwide.,,,,,,,,,,,,"Data and Analytics, Information Technology, Software, Travel and Tourism",7,"Fulvio Giannetti, Lorenzo Magnarelli, Marco D'Amore, Riccardo Pirozzi, Stefano Sciamanna, Valerio Manzo, Valerio Manzo",11-50,2,M&A,2019-03-01,560000,EUR,636635,Seed,560000,EUR,636635,Seed,560000,EUR,636635,560000,EUR,636635,"Pi Campus, LVenture Group",1,2,,Was Acquired,Lybra Tech acquired by Zucchetti Worldwide,https://www.crunchbase.com/acquisition/zucchetti-worldwide-acquires-lybra-tech--0ab081f7,Zucchetti Worldwide,https://www.crunchbase.com/organization/zucchetti-worldwide,2020-05-13,day,,,,Acquisition,,Private,,,,,,,,,,,,,1.7,9,,,,
Erbert,https://www.crunchbase.com/organization/erbert,,"Food and Beverage, Hospitality, Retail","Milan, Lombardia, Italy",Erbert creates personalized and balanced eating styles.,"106,892","European Union (EU), Europe, Middle East, and Africa (EMEA)",20129,,Active,2018-01-01,year,,,,,For Profit,https://www.erbert.it/,https://www.facebook.com/Erbert.Official/,https://www.linkedin.com/company/erbert/,servizio.clienti@erbert.it,+39 02 8355 1293,"Erbert is a department store that offers carefully selected and sustainable fresh products. The department store develops custom-curated, healthy, and balanced diets from fresh farm produce and offers fruits and vegetables, bread and confectionary, and seafood, allowing customers to eat nutritious meals and live a healthy lifestyle.",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Travel and Tourism",1,Enrico Domenico Capoferri,11-50,1,,2021-07-01,5000000,EUR,5922900,Venture - Series Unknown,5000000,EUR,5922900,Venture - Series Unknown,5000000,EUR,5922900,5000000,EUR,5922900,Oltre Impact,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.9,3,,,,
Solho,https://www.crunchbase.com/organization/solho,,"Energy Storage, Renewable Energy, Solar","Delft, Zuid-Holland, The Netherlands",Solho develops an innovative and fully off-grid energy system called sprhout.,"107,251","European Union (EU), Europe, Middle East, and Africa (EMEA)",2629,,Active,2017-01-01,year,,,,,For Profit,https://solho.eu/,https://www.facebook.com/solho.solar.thermal,https://www.linkedin.com/company/solho/,info@solho.eu,+39 3757148303,"Boosting the transitions towards sustainable food provision In 30 years from now, there will be 2 B more people living in the so-called sun belt region. Agriculture will have to double food production to sustain the global population, with fewer resources and lower environmental impact. No technology exists to achieve this target. They founded SOLHO to bridge this gap. They developed an innovative system called SPRHOUT (Solar-PoweRed Horticultural Off-grid UniT). The SPRHOUT uses Sun and available water sources (e.g., sea or sewage) to generate all the streams required to operate a greenhouse facility: electricity, heating/cooling, fresh water, and CO2.",,,,,,,,,,,,"Energy, Natural Resources, Sustainability",2,"Adriano Desideri, Emiliano Casati",1-10,2,,2023-03-14,580000,EUR,622149,Venture - Series Unknown,580000,EUR,622149,Venture - Series Unknown,580000,EUR,622149,651429,EUR,705575,"Rabobank, SHIFT Invest, EASME",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.8,8,,,,
Dishcovery,https://www.crunchbase.com/organization/dishcovery,,Food and Beverage,"Modena, Emilia-Romagna, Italy","Dishcovery, creates digital, interactive and multilingual menus for restaurants.","107,377","European Union (EU), Europe, Middle East, and Africa (EMEA)",41124,Less than $1M,Active,2018-01-01,year,,,,,For Profit,https://dishcovery.biz/,https://www.facebook.com/dishcoverymenu/,https://www.linkedin.com/company/dishcoverymenu,g.vita@dishcovery.menu,,"Dishcovery, a start-up founded in Modena in 2018, creates digital, interactive and multilingual menus for restaurants and provides a state-of-the-art system for managing those menus on all digital touch points in real time.",,,,,,,,,,,,Food and Beverage,3,"Giuliano Vita, Marco Simonini, Simone Busoli",1-10,5,,2021-08-03,619000,EUR,734719,Equity Crowdfunding,619000,EUR,734719,Equity Crowdfunding,1403461,USD,1403461,1403461,USD,1403461,Primo Capital,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.7,4,0,1,,Scientific and electric apparatus and instruments
Talet-e,https://www.crunchbase.com/organization/talet-e,,"Automotive, Electric Vehicle","Messina, Sicilia, Italy",Talet-e is an e-mobility technology company that specializes in electrification to transform combustion into zero-emission vehicles.,"107,750","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-01-01,year,,,,,For Profit,http://www.talet-e.it,,https://www.linkedin.com/company/talet-e,info@talet-e.it,,Talet-e is an e-mobility technology company that specializes in electrification to transform combustion vehicles into zero-emission vehicles.,,,,,,,,,,,,Transportation,2,"Marco Dau, Sertac Yeltekin",1-10,2,Seed,2024-04-01,1700000,EUR,1825209,Debt Financing,950000,EUR,1019970,Seed,950000,EUR,1019970,2650000,EUR,2845179,"UniCredit, Banca Progetto, RA.MO",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,,,,,
Future Fashion,https://www.crunchbase.com/organization/future-fashion-srl,,"3D Technology, Augmented Reality, Fashion, Made to Order, Retail Technology, Software","Civitanova Marche, Marche, Italy",all-in-one platform for virtualize and customize a collection in 3D,"108,035","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://www.futurefashionsolution.com/en/,,https://www.linkedin.com/company/futurefashionsolution,info@futurefashionsolution.com,+39.329.9239585,"Future Fashion is an omnichannel platform that helps fashion brands to virtualize and customize their collections in 3D by reducing sample costs and increasing customer experience. It's the owner of DIS, the brand offering the fastest made to order shoe service in the world.  Thanks to an end-to-end platform, today DIS sells shoes without producing them using an omnichannel 3D configurator with over 60 million virtual combinations",,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Hardware, Software",4,"Andrea Carpineti, Francesco Carpineti, Francesco Mantegazzini, Michele Luconi",11-50,6,,2023-05-15,1000000,EUR,1087350,Venture - Series Unknown,1000000,EUR,1087350,Venture - Series Unknown,1595000,EUR,1737218,2095000,EUR,2280893,"Startup Wise Guys, Banco BPM, Zakeke, Sviluppo Imprese Centro Italia",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.4,3,0,4,,Clothing; footwear; headgear
Lab Evo,https://www.crunchbase.com/organization/lab-evo,,"Health Care, Medical","Milan, Lombardia, Italy",Lab Evo is an Italian Digital Healthcare startup that allows customers to manage their health online with direct access to laboratory tests.,"108,454","European Union (EU), Europe, Middle East, and Africa (EMEA)",20155,,Active,2022-01-01,year,,,,,For Profit,https://www.lab-evo.com,,https://www.linkedin.com/company/lab-evo,,,Lab Evo is an Italian Digital Healthcare startup that allows customers to manage their health online with direct access to laboratory tests.,,,,,,,,,,,,Health Care,1,Matteo Nobili,1-10,1,Seed,2024-08-22,1000000,EUR,1111585,Seed,1000000,EUR,1111585,Seed,1000000,EUR,1111585,1000000,EUR,1111585,Fincarl,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,9,0,3,,"Pharmaceutical, veterinary and sanitary products"
Iride Acque,https://www.crunchbase.com/organization/iride-acque,,"Water, Water Purification","Parma, Emilia-Romagna, Italy",Iride Acque studies new industrial wastewater purification processes.It is possible to purify wastewater without incurring exorbitant costs.,"108,637","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://irideacque.com,https://www.facebook.com/Irideacquesrl,https://www.linkedin.com/company/i-ri-de-s-r-l,info@irideacque.com,+39 0521 1683328,Iride Acque studies new industrial wastewater purification processes.It is possible to purify wastewater without incurring exorbitant costs.,,,,,,,,,,,,"Natural Resources, Sustainability",,,1-10,1,,2023-01-03,662000,USD,662000,Equity Crowdfunding,662000,USD,662000,Equity Crowdfunding,662000,USD,662000,662000,USD,662000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.1,8,,,,
AerariumChain,https://www.crunchbase.com/organization/aerariumchain,,"3D Technology, Art, Artificial Intelligence (AI), Blockchain, InsurTech, Museums and Historical Sites","Milano, Lombardia, Italy",Saas service to support artistic and cultural heritage from artworks condition monitoring to fundraising with NFT,"109,038","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,,Active,2014-10-01,day,,,,,For Profit,https://aerariumchain.com/en/home,https://www.facebook.com/AerariumChain,https://www.linkedin.com/company/35604818/admin,info@aerariumchain.com,+393495395295,"AerariumChain is an ArtTech, InsurTech and Crypto Saas service to support Museums, Foundations and Private collectors from artworks condition monitoring to fundraising with NFT.  We monitor artworks by high definition 3D scans repeated in the time, data certification on blockchain and AI algorithms to identify any problem or degradation signal. We allow our customers to collect funds for preservation of their artwork through a specific kind of NFT called NFTmicro.",,,,,,,,,,,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Hardware, Media and Entertainment, Other, Science and Engineering, Software, Travel and Tourism",2,"Danilo Rea, Maurizio Rea",11-50,4,Seed,2023-02-13,,,,Non-equity Assistance,,,,Seed,400000,EUR,488700,700000,EUR,801573,"CDP Venture Capital, Startup Wise Guys, Tezos, Borderless Capital, Cassa Depositi e Prestiti",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.2,7,0,2,,Scientific and electric apparatus and instruments
Lualtek,https://www.crunchbase.com/organization/lualtek,,"Agriculture, AgTech, Artificial Intelligence (AI), Farming, Information Technology, Sensor, Software","Comiso, Sicilia, Italy","Monitoring, Automation and Artificial Intelligence for greenhouses and open field crops.","109,447","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-02-19,day,,,,,For Profit,https://lualtek.io,https://facebook.com/lualtek.io,https://www.linkedin.com/company/lualtek/,info@lualtek.io,,"Lualtek is the only solution that provides a vertical service dedicated to the monitoring and automation of greenhouses and open field crops. A complete, plug-and-play and ready-to-use package, which transversely covers and provides the three main assets in an integrated way: LoRaWAN network, sensors / actuators and artificial intelligence. Lualtek is the tool for achieving sustainable and efficient crops. It does not require pre-existing technological configurations and can be integrated in a completely isolated area.",,,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",2,"Alessio Occhipinti, Luca Occhipinti",1-10,2,,2024-01-23,201321,EUR,218585,Equity Crowdfunding,201321,EUR,218585,Equity Crowdfunding,501321,EUR,580046,501321,EUR,580046,Mamacrowd,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,7,0,1,,Chemical substances
Vino.com,https://www.crunchbase.com/organization/vino75,,"E-Commerce, Retail, Wine And Spirits","Florence, Toscana, Italy","Vino.com is an online wine shop that sells white wine, distillates, and beers.","109,698","European Union (EU), Europe, Middle East, and Africa (EMEA)",50124,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.vino.com,https://www.facebook.com/vinodotcomEN,https://www.linkedin.com/company/vino75-com,assistenza@vino.com,+390555359755,"Vino.com is a wine shop. They provide extensive selections of drinks and spirits. They offer promotions and discount coupons on a range of wines and quality packaging for the wine bottles to prevent thermal changes and damages, enabling customers to choose and buy wine from a wide variety of options.",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",4,"Andrea Nardi Dei, Diego Di Sepio, Elisa Scapin, Francesco Limberti",11-50,4,Early Stage Venture,2016-12-01,1500000,EUR,1599573,Series A,1500000,EUR,1599573,Series A,2425000,EUR,2695695,2425000,EUR,2695695,"Invitalia Ventures, Club Italia Investimenti 2, Nanabianca, Sviluppo Imprese Centro Italia, Club Digitale",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.2,11,0,27,,Alcoholic beverages
