Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Diversity Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
Rainapp,https://www.crunchbase.com/organization/rainapp,,"Apps, Internet of Things, Software","Cagliari, Sardegna, Italy",Rainapp monitors the surface drainage network in real-time using IoT technology.,"408,952","European Union (EU), Europe, Middle East, and Africa (EMEA)",909128,,Active,2019-01-01,year,,,,,For Profit,https://rainapp.it,https://www.facebook.com/RainappSrl,,info@rainapp.it,+39 070 9243 2963,"Rainapp is a flood sentinel that monitors surface rain drainage networks using IOT technology. They provide civil protection, optimization of maintenance activities, and detection of pollutants carried by rain.",,,,,,,,,,,,"Apps, Internet Services, Software",1,Laura Pala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.5,9,1,0,Testing,
Sanitex,https://www.crunchbase.com/organization/sanitex,,"Grocery, Logistics, Retail, Wholesale","Kaunas, Kauno Apskritis, Lithuania","Sanitex is a retail wholesaler, distributor, and logistics services provider company.","414,627","European Union (EU), Europe, Middle East, and Africa (EMEA)",47501,$1M to $10M,Active,1992-01-01,year,,,,,For Profit,https://www.sanitex.eu,,https://www.linkedin.com/company/sanitex,sanitex@sanitex.eu,+370 37 40 11 11,"Established in 1992, now SANITEX LLC collaborates with more than 500 producers and directly serves more than 35 000 customers in all Baltic States. SANITEX offers a wide assortment (more than 43 000 product names), professional services & business solutions. SANITEX is the largest wholesale, distribution and logistics company in Lithuania and Latvia, also active in Estonia and Poland.",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Transportation",,,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.1,15,0,18,,Advertising; business
Nurjana Technologies,https://www.crunchbase.com/organization/nurjana-technologies,,"Aerospace, Industrial Manufacturing, Software","Elmas, Sardegna, Italy",Systems and Software Solutions for System Integration and Sensor Data Fusion & Tracking,"447,048","European Union (EU), Europe, Middle East, and Africa (EMEA)",09030,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.nurjanatech.com/,,https://www.linkedin.com/company/nurjana-technologies-srl/,corporate@nurjanatech.com,+39 070 240924,"Nurjana Technologies (NT) is a small company located in Cagliari - Sardinia providing Systems and Software Solutions for System Integration and Sensor Data Fusion & Tracking based on a strong System Engineering approach to complex system design. Experiences includes engineering, software and management assignments, serving in various Defense and Aerospace context in support of many important players. AEROSPACE - Command&Control System for System Test and Evaluation - Systems for Trajectory Tracking and Orbits Determination - Remote Sensing Data Exploitation Systems - Subsystems for Payload Data Ground Segment INFORMATION TECHNOLOGIES - Applications for Real Time Expert Systems - Image Processing and Scenario Analysis - Tools for Sensors Modelling and Simulation - Mathematical Optimizations Tools for Test Data Processing ENGINEERING AND R&D - Alghoritms for Multi Sensor Data Fusion and Tracking - Trajectory Simulations and Test Data Analysis - Design and Development of Systems of Systems - Project Management and Engineering Support Specialties Design of ranges and test facilities, System design and integration, Turnkey solutions for software systems development, IT, Systems for Trajectory Tracking, Test and Evaluation, Multi Sensor Data Fusion, Modelling and Simulation, Real Time Expert Systems, Command&Control, and Electro Optic Tracking System",,,,,,,,,,,,"Manufacturing, Science and Engineering, Software",1,Pietro Andronico,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,10,,,,
WhiteStar Management,https://www.crunchbase.com/organization/whitestar-management,,"Communities, Property Management, Real Estate, Residential","Rancho Mirage, California, United States","WhiteStar Management is a community management company that offers buying, selling, and property management services.","449,262","Greater Los Angeles Area, Inland Empire, West Coast",92270,$1M to $10M,Active,2001-01-01,year,,,,,For Profit,https://www.whitestarmgmt.com,https://www.facebook.com/whitestarmanagement/,,ClientServices@WhiteStarMgmt.com,+1 760 773 0123,,,,,,,,,,,,,"Community and Lifestyle, Real Estate",1,Rhonda Belous,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,20,,,,
Pizza Factory,https://www.crunchbase.com/organization/pizza-factory,,"Delivery, Food and Beverage, Wine And Spirits","Oakhurst, New Jersey, United States",We are a Pizzeria offering traditional p,"456,389","Greater New York Area, East Coast, Northeastern US",,$1M to $10M,Active,1985-01-01,year,2025-01-15,day,,,For Profit,http://spanishsprings.pizzafactory.com,http://www.facebook.com/pizzafactoryinc,,spanishsprings@pizzafactory.com,775-331-3600,"We are a Pizzeria offering traditional pizzas, cal-zones and much more. Call us today for a speedy delivery, straight to your doorstep or stop by to try our lunch specials.",,,,,,,,,,,,"Administrative Services, Food and Beverage",,,11-50,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,Pizza Factory acquired by Wonder Franchises,https://www.crunchbase.com/acquisition/wonder-franchises-acquires-pizza-factory--40d42ded,Wonder Franchises,https://www.crunchbase.com/organization/wonder-franchises,2025-01-15,day,,,,Acquisition,,Private,,,,,,,,,,,,,-0.1,3,0,15,,Services for providing food and drink; temporary accommodations
Wonderful Italy,https://www.crunchbase.com/organization/wonderful-italy,,"Hospitality, Online Portals, Real Estate, Tourism, Travel Accommodations, Vacation Rental","Milano, Lombardia, Italy",Wonderful Italy is a network of holiday homes.,"471,788","European Union (EU), Europe, Middle East, and Africa (EMEA)",20144,Less than $1M,Active,2017-01-01,year,,,,,For Profit,https://wonderfulitaly.eu/en,https://www.facebook.com/wonderfulitaly.eu/,https://www.linkedin.com/company/wonderful-italy/,info@wonderfulitaly.eu,+39 02 8088 9702,"Wonderful Italy is a network of vacation homes. They offer lodging in selected homes in order to support the entrepreneurial spirit of these communities as well as local professionals who, like us, believe that tourist hospitality is a critical resource for their own development.",,,,,,,,,,,,"Internet Services, Real Estate, Travel and Tourism",1,Michele Ridolfo,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.1,13,0,2,,Advertising; business
Testudo,https://www.crunchbase.com/organization/testudo,,Art,"Brooklyn, New York, United States",Testudo is the gateway to collecting unique contemporary art made by studio artists.,"472,490","Greater New York Area, East Coast, Northeastern US",11232,,Active,2021-01-01,year,,,,,For Profit,https://testudomkt.com/,,https://www.linkedin.com/company/testudomkt,info@testudomkt.com,,"We’re a platform built to celebrate artists and to create the next great community of artists, collectors, and enthusiasts. We partner with a curated selection of the best emerging artists working today to share their work with our collectors. Our model offers collectors the chance to discover incredible new artists and pays our artists a higher percentage of sales than the traditional art market, which offers them more freedom to create. While we hope a work always remains with the initial collector, if the need arises, collectors have the ability to resell a work to a new loving home. When that work sells, the original artist receives a portion of that sale through a royalty. Our closed ecosystem offers collectors a way to resell work and ensures artists remain engaged in that process. With a heightened focus on inclusivity, transparency, and security, we’re on a mission to establish a more equitable and accessible art market for all.",,,,,,,,,,,,Media and Entertainment,2,"John Dennehy, Kirby Voigtman",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.9,,0,1,,Advertising; business
eFarma.com,https://www.crunchbase.com/organization/efarma-com,,"E-Commerce, Health Care, Retail, Wellness","Bacoli, Campania, Italy","eFarma.com is a retailer of medicines, cosmetics, supplements, naturopathy, health care, hygiene and wellness products.","477,895","European Union (EU), Europe, Middle East, and Africa (EMEA)",80070,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://www.efarma.com,https://www.facebook.com/eFarmafarmaciaonline,https://www.linkedin.com/company/efarma-it,info@efarma.com,+39 06 2112 7551,,,,,,,,,,,,,"Commerce and Shopping, Health Care",1,Francesco Zaccariello,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,8,,,,
Alkimiya,https://www.crunchbase.com/organization/alkimiya,,"Medical, Therapeutics, Wellness","Rome, Lazio, Italy",Alkimiya develops solutions based on a conceptual model of evidence-based pro-active medicine to support clinical decisions.,"481,990","European Union (EU), Europe, Middle East, and Africa (EMEA)",00185,,Active,,,,,,,For Profit,https://www.alkimiya.eu,,https://www.linkedin.com/company/alkimiya/,info@alkimiya.eu,+39 06 56559139,"Alkimiya provides naviclin, medicsafe, and smartcare solutions. They developed their support system for the pro-active support of post-hospital and chronic patients. They offer telemedicine systems, electronic medical records, and applications for chronic disease patient management.",,,,,,,,,,,,Health Care,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.8,7,,,,
SGM,https://www.crunchbase.com/organization/sgm-574f,,"Building Material, Construction, Manufacturing","Pompano Beach, Florida, United States","SGM is the manufacturing firm of pool, spa & deck finishes, also the developer of ceramic tile & dimension stone installation systems.","483,446","Greater Miami Area, East Coast, Southern US",,,Active,1978-01-01,year,,,,,For Profit,https://www.sgm.cc,https://www.facebook.com/sgm78,https://www.linkedin.com/company/sgm-inc.,,1-800-641-9247,,,,,,,,,,,,,"Manufacturing, Real Estate",1,Ron Picou,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1.4,3,0,8,,Non-metallic building materials
Destination Italia,https://www.crunchbase.com/organization/destination-italia,,"Hospitality, Tour Operator, Travel Accommodations, Travel Agency","Milan, Lombardia, Italy","Destination Italia is a travel agency that provides holiday packages, accommodation, tour itineraries, hotels, and transfer services.","493,104","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,$1M to $10M,Active,,,,,,,For Profit,https://www.destinationitalia.com/login/?returnURL=%2Fdefault.aspx#no-back,https://www.facebook.com/DestinationItalia/,https://www.linkedin.com/company/destinationitalia/,destination2italiarsl@pec.it,,,,,,,,,,,,,,Travel and Tourism,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,12,,,,
NaturaleBio,https://www.crunchbase.com/organization/naturalebio,,"E-Commerce, Nutrition, Organic Food","Rome, Lazio, Italy",NaturaleBio is a food production company that supplies and distributes natural products with vitamins and minerals online.,"494,226","European Union (EU), Europe, Middle East, and Africa (EMEA)",00015,,Active,2016-01-01,year,,,,,For Profit,https://www.naturalebio.com,https://www.facebook.com/NaturaleBioSuperFood/,https://www.linkedin.com/company/naturalebiofood/,help@naturalebio.com,+39 800 180 766,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Health Care",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.8,5,,,,
Next Industries,https://www.crunchbase.com/organization/next-industries,,"Industrial, Industrial Manufacturing, Manufacturing, Product Design","Shelby, Michigan, United States","Next Industries is a manufacturing company that offers CNC machines, services, and MRO solutions for the automotive and aerospace industry.","499,377","Great Lakes, Midwestern US",48315,$1M to $10M,Active,1982-01-01,year,,,,,For Profit,https://nextind.com,https://www.facebook.com/NextIndustriesSolutions/,https://www.linkedin.com/company/geoteck/,website_support@nextind.com,+1 586-803-3163,,,,,,,,,,,,,"Design, Manufacturing",,,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0.9,26,,,,
Bione,https://www.crunchbase.com/organization/bione,,"Biotechnology, Genetics, Health Care","Bengaluru, Karnataka, India",My Family Genomics Journey with Bione .Genetics and Microbiome testing Organisation,"499,711",Asia-Pacific (APAC),560066,,Active,2019-01-01,year,,,,,For Profit,https://www.bione.in/,https://www.facebook.com/bioneventures/,https://www.linkedin.com/company/30930815/admin/,info@bione.in,,Bione is one of the best direct to consumer testing company in India. We offers bione longevity and longevity kits for your health and well being.,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",1,Surendra K Chikara,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.1,7,,,,
RECO2,https://www.crunchbase.com/organization/reco2,,"Architecture, Building Material, CleanTech, Construction, Green Building, Industrial, Manufacturing","Pontecorvo, Lazio, Italy","RECO2 creates sustainable building materials from industrial waste, reducing environmental impact and promoting the circular economy","507,706","European Union (EU), Europe, Middle East, and Africa (EMEA)",03037,Less than $1M,Active,2018-06-01,month,,,,,For Profit,http://www.reco2.it/,https://www.facebook.com/RECO2Srl/,https://www.linkedin.com/company/recosrl/,info@reco2.it,0039 389 0057 713,"RECO2 is an innovative start-up specialising in the production of eco-friendly building materials derived from industrial by-products such as steel, glass and quarry waste. Using a patented production process, we transform these materials into high-performance, environmentally friendly flooring and street furniture solutions. Our technology not only helps reduce CO2 emissions, but also promotes a circular economy, recycling more than 50 kg of waste for every square metre of product. Awarded nationally and internationally for innovation and sustainability, we collaborate with leading architectural firms and aim to become an industry leader by offering customised and certified products for both public and private projects.",,,,,,,,,,,,"Manufacturing, Real Estate, Sustainability",4,"Daniele Nora, Désirée Farletti, Luca Spiridigliozzi, Tommaso Farletti",1-10,2,,2018-09-01,,,,Non-equity Assistance,,,,,,,,,,,The Startup Training,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.8,11,2,0,Cements; Concrete; Artificial Stone; Ceramics,
DMV.org,https://www.crunchbase.com/organization/dmv-org,,"Automotive, CivicTech, GovTech, Mobile, Transportation","Encinitas, California, United States",DMV.org: The DMV Organized. Our mission is to bring Joy & Delight to the DMV experience nationwide.,"511,501","Greater San Diego Area, West Coast, Western US",92024,$10M to $50M,Active,1999-01-01,year,,,,,For Profit,http://www.dmv.org,http://www.facebook.com/dmv.org,https://www.linkedin.com/company/dmv-org,website-support@dmv.org,858-764-4590,"DMV.org is a privately owned website that simplifies driver- and DMV-related information. It serves the online community with state-by state guides that cover how to: * Apply for a driver’s license * Register a vehicle or boat * Transfer a vehicle title  * Order license plates and placards * Obtain a driving record * Get auto insurance  * And much, much more Although each state handles driver and vehicles services differently, they all have something in common: a tough job! Publishing a website with accurate, easy-to-find info is a huge task. And drivers don't have it any easier. Ensuring they’ve got all the requirements and fees BEFORE standing in line can be time consuming. That’s why DMV.org aims to make things easier on everyone. It features thousands of pages informing residents about hundreds of tasks—all in one place.  DMV.org is not affiliated with the government, but often works hand in hand with state motor vehicle agencies to publish up-to-date content. What’s more, DMV.org connects its users to time-saving products and services—everything from online practice tests and driver’s ed courses to instant driving records and vehicle history reports.",,,,,,,,,,,,"Government and Military, Information Technology, Mobile, Transportation",1,Raj Lahoti,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,2,,,,
FlyTrendy,https://www.crunchbase.com/organization/flytrendy,,"Advertising, Digital Marketing, Social Media","Milan, Lombardia, Italy",FlyTrendy is a digital platform that connects Brands with thousands of Creators in Community to create influencer marketing campaigns.,"519,737","European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,,Active,2017-01-01,year,,,,,For Profit,https://flytrendy.com,https://www.facebook.com/FlyTrendy,https://www.linkedin.com/company/flytrendy,,,"The technology and the using of social media advertising FlyTrendyable amplify the posts of influencers, achieving guaranteed results.",,,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,1,,,,
Trackting Srl,https://www.crunchbase.com/organization/trackting-srl,,,"Rome, Lazio, Italy",Trackting is a theft security software device for vehicles.,"541,713","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2000-01-01,year,,,,,For Profit,https://www.trackting.com,https://www.facebook.com/trackting,https://www.linkedin.com/company/trackting/,,,"Trackting have been working on electronics production, focusing on IOT and GPS systems since 2000. The company's device is completely plug and play, made in italy and sold via ecommerce channels. With Trackting users can control their motorbikes in realtime and get notified if any theft attempt is happening.",,,,,,,,,,,,,1,Claudio Carnevali,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5.9,3,,,,
Mia Burton,https://www.crunchbase.com/organization/mia-burton-aabb,,"Delivery Service, E-Commerce, Eyewear, Fashion, Shopping, Wearables","Milan, Lombardia, Italy","Mia Burton is an online boutique for eyewear such as sunglasses, eyeglasses, and accessories.","543,364","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2018-01-01,year,,,,,For Profit,https://miaburton.com/en,https://www.facebook.com/miaburtoncom,https://www.linkedin.com/company/mia-burton/,help@miaburton.com,,"Mia Burton is an online boutique for eyewear such as sunglasses, eyeglasses, and accessories. It is based in Milan, Italy.",,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Electronics, Consumer Goods, Design, Hardware, Transportation",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.3,28,0,2,,Advertising; business
Brainiac,https://www.crunchbase.com/organization/brainiac,,"Food and Beverage, Retail, Snack Food","Burlingame, California, United States","Brainiac offers snacks with BrainPack nutrients for brain health, including Omega-3s and choline.","550,843","San Francisco Bay Area, West Coast, Western US",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://brainiacfoods.com,https://www.facebook.com/BrainiacKidsFoods,https://www.linkedin.com/company/brainiac-foods,hello@brainiacfoods.com,1 650-5627483,"Brainiac operates in the food industry with a focus on creating snacks that support brain health. The company offers a unique line of products, including snacks and beverages, that contain the BrainPack, a proprietary blend of nutrients such as Omega-3 DHA, Omega-3 EPA, Omega-3 ALA, choline, and lutein. These ingredients are known for their benefits to brain development and function. Brainiac's product range caters to both adults and children, aiming to provide nutritious options that contribute to brain wellness. The company emphasizes clean labels, BPA-free packaging, and organic ingredients in its offerings, which include fruit and veggie snack pouches, applesauce, and more. Brainiac was founded with the mission to improve brain health through better nutrition, initiated by two fathers seeking optimal brain nutrition for their families.",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",2,"Jonathan Wolfson, Mark Brooks",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,1,,,,
Neuralya,https://www.crunchbase.com/organization/neuralya,,"Digital Marketing, Marketing, SEO, Social Media, Web Development","Milano, Lombardia, Italy",A platform dedicated to the analysis of customer behaviors.,"552,527","European Union (EU), Europe, Middle East, and Africa (EMEA)",20144,,Active,2018-01-01,year,,,,,For Profit,https://neuralya.marketing/,https://www.facebook.com/neuralya.marketing,https://www.linkedin.com/company/neuralya/,info@neuralya.com,+39 091 9865678,"Neuralya is a marketing agency that creates a platform to help companies understand their customers' emotions during the entire purchasing process. Their services include UI/UX design, mobile, web development, chatbot development, e-commerce, digital marketing, SEO, search engine marketing, business strategy, technology, web analysis, and more.",,,,,,,,,,,,"Internet Services, Media and Entertainment, Sales and Marketing, Software",1,Carlo Nuccio,1-10,1,Seed,2019-05-20,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Hatcher+,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.1,18,,,,
Wisepower,https://www.crunchbase.com/organization/wisepower,,"Battery, Manufacturing, Software","Seoul, Seoul-t'ukpyolsi, South Korea","WisePower Co., Ltd. develops and produces rechargeable battery packs for mobile phones.","558,209",Asia-Pacific (APAC),150-992,$1M to $10M,Active,1998-01-01,year,,,,,For Profit,http://www.wisepower.co.kr,,https://www.linkedin.com/company/wisepower-co.-ltd.,,82-3-1482-2060,"WisePower Co., Ltd. develops and produces rechargeable battery packs for mobile phones. It also provides contactless chargers for cellular phones, e-books, and digital photo frames. The company also manufactures LED lighting products. In addition, it focuses on developing fuel cell fields and smart grids for energy applications. The company was founded in 1998 and is based in Seoul, South Korea.",,,1,1,,,1,,,,,"Energy, Manufacturing, Software",,,501-1000,,,,,,,,,,,,,,,,,,,,,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2.3,10,,,,
Ubiquicom,https://www.crunchbase.com/organization/ubiquicom,,"Hardware, Information Technology, Software","Milano, Lombardia, Italy",Ubiquicom specializes in the design and development of products and solutions for the positioning and tracking of people and assets.,"558,907","European Union (EU), Europe, Middle East, and Africa (EMEA)",20143,$1M to $10M,Active,2004-01-01,year,2024-10-30,day,,,For Profit,https://www.ubiquicom.com/,https://www.facebook.com/Ubiquicom,https://www.linkedin.com/company/ubiquicom1/,info@ubiquicom.com,+39 028-991-9433,,,,,,,,,,,,,"Hardware, Information Technology, Software",,,11-50,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,Ubiquicom acquired by Zapi Group,https://www.crunchbase.com/acquisition/zapi-s-p-a-acquires-ubiquicom--14aa3167,Zapi Group,https://www.crunchbase.com/organization/zapi-s-p-a,2024-10-30,day,,,,Acquisition,,Private,,,,,,,,,,,,,-0.2,10,8,3,Testing,Scientific and electric apparatus and instruments
Regulus Group,https://www.crunchbase.com/organization/regulus-group,,"Aerospace, Consulting","Woodstock, Virginia, United States",Regulus Group is an engineering firm specializing in aviation systems and services.,"567,249","East Coast, Southern US",22664,$10M to $50M,Active,2002-01-01,year,,,,,For Profit,http://www.regulus-group.com,https://www.facebook.com/pages/category/Engineering-Service/Regulus-Group-LLC-125251820862123/,https://www.linkedin.com/company/regulus-group/,info@regulus-group.com,5404599630,"Regulus Group has been partnering with the FAA and the aviation community for over 15 years to solve complex problems with creative, high-caliber, and cost-effective services. They have an outstanding talent base with an unparalleled level of engineering expertise, air traffic operations knowledge, and program management experience. This depth of experience integrated with a broad set of program management, finance, and operations research capabilities has enabled Regulus to become the premier systems engineering and program management services provider for the FAA’s most challenging programs.",,,,,,,,,,,,"Professional Services, Science and Engineering",1,Karl Roulston,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.1,3,,,,
ONO Exponential Farming,https://www.crunchbase.com/organization/ono-exponential-farming,,"Biotechnology, Farming, Hydroponics","Zevio, Veneto, Italy","AgTech, Vertical Farm, Tech enabler,","580,640","European Union (EU), Europe, Middle East, and Africa (EMEA)",37059,,Active,2018-11-18,day,,,,,For Profit,https://onoexponentialfarming.com,,https://www.linkedin.com/company/onoef/,giuseppe.pasciuti@onoef.com,+39 3462244762,"ONO is the first “Seed-to-Pack” VF platform, based on a own international patented lean technology for hydroponic cultivation. All claims have been recognized for novelty, inventive step and industrial applicability. ONO is fully automatic (no human required for operations just supervision), flexible (vegetables, insects, algae), scalable, hyper efficient (3 times more profitable than any existing VF concept). A highly automated secure system for vertical cultivation under human control, helped by increasingly refined AI algorithms and Biotech innovations in a world wide distributed ecosystem. Crops, insect, algae move inside the ONO module to specific locations according to the growing requirements managed by ONO Artificial Intelligence Engine: our concept change the current VF paradigm, from product to process.",,,,,,,,,,,,"Agriculture and Farming, Biotechnology, Science and Engineering",3,"Giorgio Morandin, Stefano Sandrini, Thomas Ambrosi",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1,8,5,3,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,Common metals and their alloys; ores
ShoesOff,https://www.crunchbase.com/organization/shoesoff,,"Building Maintenance, Construction, Home Renovation","Rome, Lazio, Italy","ShoesOff provides renovation, bathroom renovation, and furniture production services.","584,850","European Union (EU), Europe, Middle East, and Africa (EMEA)",00195,$1M to $10M,Active,,,,,,,For Profit,https://www.shoesoffclub.com,https://www.facebook.com/profile.php?id=100063479383403,https://www.linkedin.com/company/shoesoff-club/,info@shoesoffclub.com,+39 333 824 5645,"ShoesOff offers renovation, bathroom renovation, painting, floors, upholstering, carpenter, fixtures, blacksmith, hydraulic, gardening, domestic appliances, moving house, handyman, electrician, cleaning, and furniture production services.",,,,,,,,,,,,Real Estate,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7.7,15,,,,
Chainside,https://www.crunchbase.com/organization/chainside,,"Computer, Software","Roma, Lazio, Italy",Chainside is a software company specialized in blockchain applications.,"591,340","European Union (EU), Europe, Middle East, and Africa (EMEA)",00165,,Active,2016-01-01,year,,,,,For Profit,https://www.chainside.net,https://www.facebook.com/chainside.net,https://www.linkedin.com/company/chainside,,,Chainside is a software company specialized in blockchain applications.,,,,,,,,,,,,"Consumer Electronics, Hardware, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,4,0,1,,Insurance; financial affairs
Bettery,https://www.crunchbase.com/organization/bettery,,"Battery, E-Commerce, Shopping","Portland, Oregon, United States",Bettery is an automated vending and recycling swap station for consumers to buy and exchange rechargeable batteries.,"591,658","West Coast, Western US",97221,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://BETTERYinc.com,http://www.facebook.com/betterbattery,http://www.linkedin.com/company/2537834,info@BETTERYinc.com,503-806-1484,"BETTERY is a conveniently located automated battery vending and recycling swap station that consumers use to buy and exchange drained rechargeable batteries for freshly recharged batteries. BETTERY offers the convenience of single-use batteries, with the cost savings of rechargeable batteries. Better than single-use battery disposal, and more environmentally friendly than recycling, BETTERY consumers a cost saving way to step up to reusable batteries. They'll even take your old, drained alkaline batteries and recycle them responsibly, giving you a guilt-free way to upgrade to BETTERY.",,,,,,,,,,,,"Commerce and Shopping, Energy",1,Shem Zakem,1-10,1,,2012-09-19,357641,USD,357641,Debt Financing,,,,,,,,357641,USD,357641,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.2,11,,,,
Speedy Group Holdings Corporation,https://www.crunchbase.com/organization/speedy-group-holdings-corporation,,"Banking, Crowdfunding, Financial Services, Insurance","Wichita, Kansas, United States","Speedy Group Holdings Corporation is one of the largest, fastest growing providers of short-term loans and financial services in the U.S.","601,045",Midwestern US,67205,$100M to $500M,Active,1997-01-01,year,,,,,For Profit,http://www.speedycash.com/,https://www.facebook.com/speedycashusa,https://www.linkedin.com/company/speedy-cash,customerservice@speedycash.com,316-722-3801,,,,,,,,,,,,,"Financial Services, Lending and Investments",2,"Chad Faulkner, Doug Rippel",1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,5,,,,
